strategy,aum,diagnostic_sharpe_next_session_open,diagnostic_sharpe_same_close_diagnostic,diagnostic_cagr_next_session_open,diagnostic_cagr_same_close_diagnostic,constant_10bps_sharpe_next_session_open,constant_10bps_sharpe_same_close_diagnostic,diagnostic_sharpe_next_minus_same,diagnostic_cagr_next_minus_same,constant_10bps_sharpe_next_minus_same
ml,100000.0,1.0925254531519626,1.0692295359845785,0.21203792855951487,0.21153413272716604,1.0940608527225741,1.0707469893178256,0.023295917167384106,0.0005037958323488301,0.023313863404748503
ml,1000000.0,1.0873927918292399,1.0642093651707771,0.21082606702363815,0.21032293035657634,1.0940608527225741,1.0707469893178256,0.023183426658462736,0.0005031366670618098,0.023313863404748503
ml,10000000.0,1.071153024304219,1.048326128082103,0.20700105368525779,0.20649999630261906,1.0940608527225741,1.0707469893178256,0.02282689622211609,0.0005010573826387255,0.023313863404748503
ml,50000000.0,1.0417621928618783,1.0195828900674881,0.2001143073564149,0.1996169888333965,1.0940608527225741,1.0707469893178256,0.022179302794390177,0.0004973185230183752,0.023313863404748503
ml,100000000.0,1.0197108014286809,0.9980193412978681,0.19497731472834445,0.194482781087284,1.0940608527225741,1.0707469893178256,0.0216914601308128,0.0004945336410604462,0.023313863404748503
momentum_12_1_equal,100000.0,1.050427515088278,1.039977697343167,0.22021998002792897,0.22361032829048666,1.0506694792937836,1.0402042457222984,0.010449817745111112,-0.0033903482625576853,0.01046523357148521
momentum_12_1_equal,1000000.0,1.0486117652009546,1.038210873779484,0.2197695597104441,0.22315772897787745,1.0506694792937836,1.0402042457222984,0.010400891421470604,-0.0033881692674333497,0.01046523357148521
momentum_12_1_equal,10000000.0,1.0428699669783372,1.0326237501144553,0.21834615858387152,0.2217274435291945,1.0506694792937836,1.0402042457222984,0.01024621686388194,-0.003381284945322971,0.01046523357148521
momentum_12_1_equal,50000000.0,1.0324908920011722,1.0225241081618615,0.21577672097066047,0.21914558512962645,1.0506694792937836,1.0402042457222984,0.009966783839310711,-0.0033688641589659785,0.01046523357148521
momentum_12_1_equal,100000000.0,1.0247141345591781,1.014956581717707,0.2138544863370302,0.21721406369539253,1.0506694792937836,1.0402042457222984,0.009757552841471062,-0.0033595773583623423,0.01046523357148521
momentum_3m_equal,100000.0,1.0677213923624151,1.0726384884001656,0.2108623507512113,0.2114715827418967,1.0683386867049127,1.0732518486586022,-0.004917096037750479,-0.0006092319906854105,-0.0049131619536895155
momentum_3m_equal,1000000.0,1.0645477738114626,1.069470786646591,0.2101372062105804,0.2107475898772706,1.0683386867049127,1.0732518486586022,-0.004923012835128304,-0.0006103836666901952,-0.0049131619536895155
momentum_3m_equal,10000000.0,1.0545157288178573,1.0594570435268842,0.20784664433556044,0.20846066037473432,1.0683386867049127,1.0732518486586022,-0.004941314709026923,-0.0006140160391738814,-0.0049131619536895155
momentum_3m_equal,50000000.0,1.0363954856205417,1.0413683145139303,0.2037157568244048,0.20433630244870038,1.0683386867049127,1.0732518486586022,-0.00497282889338857,-0.0006205456242955876,-0.0049131619536895155
momentum_3m_equal,100000000.0,1.0228303580450762,1.0278254819637793,0.20062866003678814,0.20125406751521635,1.0683386867049127,1.0732518486586022,-0.004995123918703159,-0.0006254074784282082,-0.0049131619536895155
momentum_max_sharpe,100000.0,1.087107029800758,1.0780464646760635,0.2378943927891386,0.2354478313151518,1.0885405371465517,1.0794656384309045,0.009060565124694442,0.002446561473986808,0.009074898715647262
momentum_max_sharpe,1000000.0,1.0824365082451366,1.0734043742770167,0.23666559785923402,0.23422342247275063,1.0885405371465517,1.0794656384309045,0.00903213396811986,0.0024421753864833917,0.009074898715647262
momentum_max_sharpe,10000000.0,1.0676665131756669,1.0587229565536065,0.23278690656995304,0.23035856515467712,1.0885405371465517,1.0794656384309045,0.008943556622060367,0.0024283414152759253,0.009074898715647262
momentum_max_sharpe,50000000.0,1.0409653565343038,1.0321767918581801,0.22580263042253135,0.22339915835381507,1.0885405371465517,1.0794656384309045,0.008788564676123656,0.0024034720687162725,0.009074898715647262
momentum_max_sharpe,100000000.0,1.020957589906375,1.0122808310693123,0.2205921451494708,0.2182071917113375,1.0885405371465517,1.0794656384309045,0.008676758837062648,0.002384953438133275,0.009074898715647262
momentum_min_vol,100000.0,0.920844708954291,0.8991661492322174,0.1368224702251577,0.13680090042570403,0.9231501855151866,0.9014014938875237,0.021678559722073665,2.1569799453668992e-05,0.02174869162766291
momentum_min_vol,1000000.0,0.9135708506456827,0.8921332813814159,0.13560039746856756,0.13558082768213553,0.9231501855151866,0.9014014938875237,0.021437569264266765,1.956978643202767e-05,0.02174869162766291
momentum_min_vol,10000000.0,0.8905782948647236,0.8698994179538425,0.13174354768480567,0.13173027779214963,0.9231501855151866,0.9014014938875237,0.020678876910881105,1.3269892656042614e-05,0.02174869162766291
momentum_min_vol,50000000.0,0.8490529246087553,0.8297323188537968,0.12480099444388704,0.12479901812207994,0.9231501855151866,0.9014014938875237,0.01932060575495842,1.9763218070956157e-06,0.02174869162766291
momentum_min_vol,100000000.0,0.817972557797807,0.7996583751234608,0.119623648632881,0.11963005517931258,0.9231501855151866,0.9014014938875237,0.018314182674346147,-6.406546431581006e-06,0.02174869162766291
