strategy,timing,aum,observations,first_signal_date,last_valuation_date,median_trade_pct_adv,p95_trade_pct_adv,max_trade_pct_adv,pct_trades_gt_1pct_adv,pct_trades_gt_5pct_adv,pct_trades_gt_10pct_adv,estimated_cost_bps,annualized_turnover,diagnostic_sharpe,diagnostic_cagr,constant_10bps_sharpe,capacity_flag
ml,next_session_open,100000.0,51,2021-08-31,2025-12-01,4.582295609130949e-06,2.268872439997908e-05,3.604129382725765e-05,0.0,0.0,0.0,7.2068996297811525,8.294782148372757,1.0925254531519626,0.21203792855951487,1.0940608527225741,within_largest_tested_limit_not_execution_assurance
ml,next_session_open,1000000.0,51,2021-08-31,2025-12-01,4.58229560913095e-05,0.0002268872439997908,0.0003604129382725765,0.0,0.0,0.0,8.055853924739997,8.294782148372757,1.0873927918292399,0.21082606702363815,1.0940608527225741,within_largest_tested_limit_not_execution_assurance
ml,next_session_open,10000000.0,51,2021-08-31,2025-12-01,0.00045822956091309494,0.0022688724399979082,0.0036041293827257653,0.0,0.0,0.0,10.740483126192348,8.294782148372757,1.071153024304219,0.20700105368525779,1.0940608527225741,within_largest_tested_limit_not_execution_assurance
ml,next_session_open,50000000.0,51,2021-08-31,2025-12-01,0.002291147804565475,0.01134436219998954,0.018020646913628827,0.10613207547169812,0.0,0.0,15.593538021454151,8.294782148372757,1.0417621928618783,0.2001143073564149,1.0940608527225741,within_largest_tested_limit_not_execution_assurance
ml,next_session_open,100000000.0,51,2021-08-31,2025-12-01,0.00458229560913095,0.02268872439997908,0.03604129382725765,0.42924528301886794,0.0,0.0,19.230026075780792,8.294782148372757,1.0197108014286809,0.19497731472834445,1.0940608527225741,within_largest_tested_limit_not_execution_assurance
ml,same_close_diagnostic,100000.0,51,2021-08-31,2025-11-28,4.582295609130949e-06,2.2632143019147516e-05,3.604129382725765e-05,0.0,0.0,0.0,7.2069092296191215,8.294966558036387,1.0692295359845785,0.21153413272716604,1.0707469893178256,within_largest_tested_limit_not_execution_assurance
ml,same_close_diagnostic,1000000.0,51,2021-08-31,2025-11-28,4.58229560913095e-05,0.0002263214301914752,0.0003604129382725765,0.0,0.0,0.0,8.055551994679819,8.294966558036387,1.0642093651707771,0.21032293035657634,1.0707469893178256,within_largest_tested_limit_not_execution_assurance
ml,same_close_diagnostic,10000000.0,51,2021-08-31,2025-11-28,0.00045822956091309494,0.002263214301914752,0.0036041293827257653,0.0,0.0,0.0,10.739196052094782,8.294966558036387,1.048326128082103,0.20649999630261906,1.0707469893178256,within_largest_tested_limit_not_execution_assurance
ml,same_close_diagnostic,50000000.0,51,2021-08-31,2025-11-28,0.002291147804565475,0.011316071509573759,0.018020646913628827,0.10613207547169812,0.0,0.0,15.590470083879948,8.294966558036387,1.0195828900674881,0.1996169888333965,1.0707469893178256,within_largest_tested_limit_not_execution_assurance
ml,same_close_diagnostic,100000000.0,51,2021-08-31,2025-11-28,0.00458229560913095,0.022632143019147517,0.03604129382725765,0.42924528301886794,0.0,0.0,19.22562370270175,8.294966558036387,0.9980193412978681,0.194482781087284,1.0707469893178256,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,next_session_open,100000.0,51,2021-08-31,2025-12-01,6.568860657919633e-07,2.1174979238600144e-05,3.4339836460298335e-05,0.0,0.0,0.0,2.8420988395313396,3.355657905164481,1.050427515088278,0.22021998002792897,1.0506694792937836,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,next_session_open,1000000.0,51,2021-08-31,2025-12-01,6.568860657919632e-06,0.00021174979238600144,0.00034339836460298335,0.0,0.0,0.0,3.1529402378854763,3.355657905164481,1.0486117652009546,0.2197695597104441,1.0506694792937836,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,next_session_open,10000000.0,51,2021-08-31,2025-12-01,6.568860657919632e-05,0.002117497923860014,0.0034339836460298336,0.0,0.0,0.0,4.135907047756263,3.355657905164481,1.0428699669783372,0.21834615858387152,1.0506694792937836,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,next_session_open,50000000.0,51,2021-08-31,2025-12-01,0.0003284430328959816,0.010587489619300072,0.017169918230149166,0.060126582278481014,0.0,0.0,5.912834709104271,3.355657905164481,1.0324908920011722,0.21577672097066047,1.0506694792937836,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,next_session_open,100000000.0,51,2021-08-31,2025-12-01,0.0006568860657919632,0.021174979238600143,0.03433983646029833,0.18670886075949367,0.0,0.0,7.244321031297631,3.355657905164481,1.0247141345591781,0.2138544863370302,1.0506694792937836,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,same_close_diagnostic,100000.0,51,2021-08-31,2025-11-28,7.229813474122556e-07,2.110167822883295e-05,3.458055271356683e-05,0.0,0.0,0.0,2.8465111871036193,3.3605760103146207,1.039977697343167,0.22361032829048666,1.0402042457222984,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,same_close_diagnostic,1000000.0,51,2021-08-31,2025-11-28,7.229813474122556e-06,0.00021101678228832945,0.0003458055271356683,0.0,0.0,0.0,3.158031381961772,3.3605760103146207,1.038210873779484,0.22315772897787745,1.0402042457222984,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,same_close_diagnostic,10000000.0,51,2021-08-31,2025-11-28,7.229813474122555e-05,0.002110167822883295,0.003458055271356683,0.0,0.0,0.0,4.1431447348530055,3.3605760103146207,1.0326237501144553,0.2217274435291945,1.0402042457222984,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,same_close_diagnostic,50000000.0,51,2021-08-31,2025-11-28,0.0003614906737061278,0.010550839114416474,0.017290276356783416,0.060126582278481014,0.0,0.0,5.923952742547408,3.3605760103146207,1.0225241081618615,0.21914558512962645,1.0402042457222984,within_largest_tested_limit_not_execution_assurance
momentum_12_1_equal,same_close_diagnostic,100000000.0,51,2021-08-31,2025-11-28,0.0007229813474122556,0.021101678228832948,0.03458055271356683,0.18670886075949367,0.0,0.0,7.258346683434525,3.3605760103146207,1.014956581717707,0.21721406369539253,1.0402042457222984,within_largest_tested_limit_not_execution_assurance
momentum_3m_equal,next_session_open,100000.0,51,2021-08-31,2025-12-01,1.7332313451777989e-06,2.2151641645062154e-05,3.1689139869330596e-05,0.0,0.0,0.0,4.385864812015978,5.101879716764747,1.0677213923624151,0.2108623507512113,1.0683386867049127,within_largest_tested_limit_not_execution_assurance
