horizon_months,observations,mean_rank_ic,median_rank_ic,rank_ic_std,positive_rank_ic_fraction,rank_ic_ir,average_top_n_spread,top_n_hit_rate
1,88,0.03862947469471145,0.006766917293233082,0.23039828946543714,0.5113636363636364,0.16766389535416407,0.007378058722872834,0.5318181818181817
2,87,0.03317126225648626,0.05263157894736842,0.2535489984102448,0.5862068965517241,0.1308278181514045,0.012639634262516845,0.5356321839080461
3,86,0.033137314245445595,0.021052631578947364,0.2391604052821914,0.5465116279069767,0.13855685771374254,0.01640531945552416,0.5511627906976744
