date,score_mean,score_std,score_min,score_max,score_range,top_1_minus_median_score,top_5_average_minus_universe_average,selected_score_average,full_universe_score_average,rank_ic,top_n_hit_rate,top_n_spread
2018-08-31,0.5635774935348059,0.15243651113623566,0.2649868003735057,0.8383689654104141,0.5733821650369084,0.28934654535705007,0.19484798717308371,0.7584254807078896,0.5635774935348059,-0.4526315789473684,0.0,-0.016964413104337495
2018-09-28,0.5744381784452273,0.10572556943473886,0.3645856010669177,0.7838706085569344,0.4192850074900167,0.22031866742705097,0.13468609323308312,0.7091242716783104,0.5744381784452273,0.025573525689680972,0.4,-0.011176208882677188
2018-10-31,0.6017752140781997,0.17021516632144718,0.2689786619193619,0.8196601086891634,0.5506814467698015,0.17376655712412648,0.17835114330465418,0.7801263573828539,0.6017752140781997,-0.04661654135338346,0.6,-0.029705401290777055
2018-11-30,0.607689815563501,0.08789628255628809,0.46456532247662097,0.8393241730586691,0.37475885058204816,0.2533634814180328,0.12052456975159276,0.7282143853150937,0.607689815563501,-0.10075187969924812,0.6,-0.01542544972169016
2018-12-31,0.6126127125099954,0.1764286455940034,0.34879972684191707,0.8855066339429273,0.5367069071010102,0.31295023092692154,0.23490698133112298,0.8475196938411184,0.6126127125099954,0.02858217577081991,0.0,0.009431054888771398
2019-01-31,0.5711772493120553,0.1465668922760253,0.24460970897859755,0.8515852776524249,0.6069755686738273,0.25487088234180133,0.1675576396267271,0.7387348889387824,0.5711772493120553,0.010526315789473682,0.2,-0.023817907298614997
2019-02-28,0.5877946186118821,0.11491378371125117,0.38570712785977085,0.8358370686999426,0.4501299408401717,0.26029375070192684,0.1466983157091054,0.7344929343209875,0.5877946186118821,0.3383458646616541,0.8,0.015431999917217061
2019-03-29,0.5118343459737491,0.14151063292729824,0.3374843567342758,0.7734193417581486,0.43593498502387285,0.31544130969616835,0.1892136083574093,0.7010479543311584,0.5118343459737491,-0.20300751879699244,0.4,-0.019897819800866263
2019-04-30,0.5493287570243286,0.133463772851516,0.34103929102103525,0.7561103794693556,0.4150710884483203,0.20727398813352982,0.16946822689366337,0.718796983917992,0.5493287570243286,-0.20601503759398496,0.2,-0.030545659404035558
2019-05-31,0.553383511482346,0.16258733743519135,0.25026102827829544,0.7957676922602704,0.545506663981975,0.22803839293508654,0.20427574168344387,0.7576592531657899,0.553383511482346,0.09473684210526315,0.6,0.01656628639439553
2019-06-28,0.5975850585754366,0.10889326695258153,0.45080947938155724,0.8683065018666825,0.4174970224851252,0.3128015498879635,0.1569575180622148,0.7545425766376515,0.5975850585754366,-0.13984962406015036,0.6,-0.006993377393822841
2019-07-31,0.6002381316043154,0.08579918498896474,0.46483830346025273,0.7646802804828755,0.2998419770226228,0.178904174102409,0.10990115688173985,0.7101392884860552,0.6002381316043154,-0.04661654135338346,0.8,0.0029731693325996066
2019-08-30,0.5592501715805958,0.14420889775042486,0.3028872556522382,0.8012750654907247,0.4983878098384865,0.21327987841755203,0.17752384317446968,0.7367740147550654,0.5592501715805958,-0.0631578947368421,0.8,0.009304752146565357
2019-09-30,0.534130329163734,0.0892666515040549,0.35110194615973583,0.6853323201716272,0.3342303740118913,0.15291577243031684,0.10231890439256952,0.6364492335563036,0.534130329163734,-0.4601503759398496,0.6,-0.018066682092039967
2019-10-31,0.6246797397786698,0.0806038106178131,0.47937950281564157,0.7870991236214412,0.3077196208057996,0.1385996592998331,0.09021020619680986,0.7148899459754796,0.6246797397786698,0.5503759398496241,0.8,0.02120800095759858
2019-11-29,0.5181094777207296,0.10141612780218386,0.3700350607600283,0.7359060409375325,0.36587098017750425,0.22117463966948814,0.12883102799113788,0.6469405057118675,0.5181094777207296,0.1609022556390977,0.4,0.03543410935039822
2019-12-31,0.5835073011175993,0.08194269454833915,0.41093054709072485,0.7996520696273022,0.3887215225365773,0.23624474194623557,0.10625193340350658,0.6897592345211059,0.5835073011175993,-0.05714285714285714,0.4,0.05606136203070007
2020-01-31,0.549014716713767,0.08992940750486976,0.40524543828641,0.7760612872104954,0.37081584892408537,0.23590029335080165,0.11775508807264246,0.6667698047864095,0.549014716713767,0.13533834586466165,0.8,0.029002928415729885
2020-02-28,0.5752962958174067,0.15913842494858627,0.355267535031133,0.8304830768652678,0.4752155418341348,0.2262149633665561,0.1849911604748855,0.7602874562922922,0.5752962958174067,0.2857142857142857,0.8,0.03794738823269665
2020-03-31,0.5638205460749905,0.12387986178588553,0.38479714629310763,0.7754082646242528,0.3906111183311452,0.20683324011726922,0.15197100048944934,0.7157915465644399,0.5638205460749905,0.0,0.2,0.006692359809172155
2020-04-30,0.687568963288654,0.11605105056174905,0.43358064073962,0.8462350563259516,0.41265441558633165,0.15088738395470214,0.1243759940453596,0.8119449573340136,0.687568963288654,-0.17142857142857143,0.4,-0.02223993598401785
2020-05-29,0.6057009166077647,0.12230742699794399,0.39621136246803274,0.8255849805145712,0.42937361804653845,0.20685944170189363,0.14379989362185785,0.7495008102296226,0.6057009166077647,0.35488721804511275,0.4,0.004966023046956022
2020-06-30,0.6023920240715044,0.1496405490766964,0.3711085857683013,0.8500181832290363,0.478909597460735,0.2709637443822882,0.19314179624295025,0.7955338203144546,0.6023920240715044,0.12481203007518797,0.6,0.03873997315521041
2020-07-31,0.6073952246124315,0.13063011711436567,0.4197690679172418,0.8572637425809063,0.43749467466366454,0.2684873006481897,0.19292428960984365,0.8003195142222751,0.6073952246124315,0.12932330827067667,0.8,0.1465857175785172
2020-08-31,0.6525673442180577,0.10290589499586222,0.5048243890166156,0.8290799064753213,0.3242555174587056,0.1752081384472618,0.12358401144391118,0.7761513556619689,0.6525673442180577,-0.19097744360902258,0.4,-0.01154466123708188
2020-09-30,0.5906360564187492,0.11317386275458523,0.40260409095225036,0.7857151916030805,0.3831111006508301,0.20456127242809907,0.15301887884669196,0.7436549352654411,0.5906360564187492,-0.33684210526315783,0.2,-0.018195172620869185
2020-10-30,0.577654415090503,0.12486847439939341,0.31604411743061767,0.8076073891046791,0.49156327167406144,0.2419122165710097,0.16819067524839681,0.7458450903388998,0.577654415090503,0.3578947368421052,0.8,0.09086977985473371
2020-11-30,0.5998102508732063,0.12745060270771957,0.39880712558495846,0.8606050612855242,0.4617979357005657,0.2655409211697388,0.17375702764826528,0.7735672785214716,0.5998102508732063,0.3413533834586466,0.8,0.04757194235924621
2020-12-31,0.5495161593758591,0.13986146206132322,0.1675008380378244,0.7196326781676169,0.5521318401297926,0.15161432754439852,0.14382376980804723,0.6933399291839063,0.5495161593758591,0.28721804511278193,0.8,0.05025894622372936
2021-01-29,0.5569880123119484,0.11027279069484644,0.37594294408339746,0.7952777480504192,0.4193348039670217,0.22211021000566467,0.13463317300254019,0.6916211853144886,0.5569880123119484,-0.3037593984962406,0.4,-0.009378863011045468
2021-02-26,0.5806697864938748,0.12270506083591358,0.393040252226805,0.8187794838762532,0.4257392316494482,0.23381993861313755,0.1578447855855174,0.7385145720793922,0.5806697864938748,0.23609022556390977,0.6,0.03831425336435948
2021-03-31,0.5480090348565836,0.08626101552542617,0.4006990598799067,0.6749598653952461,0.2742608055153394,0.11640668138994159,0.0959006388395367,0.6439096736961203,0.5480090348565836,0.19248120300751878,0.6,-0.002941964643531282
2021-04-30,0.579477042704551,0.07819941335576704,0.4176167381355107,0.7301157286587785,0.3124989905232678,0.13418173402503886,0.08643127778474946,0.6659083204893005,0.579477042704551,0.18796992481203004,0.6,-0.020747749323010878
2021-05-28,0.5223041335459246,0.11811809936841054,0.2695712379583346,0.6978770158434705,0.4283057778851359,0.14372472102403988,0.12619385019829932,0.648497983744224,0.5223041335459246,-0.1639097744360902,0.6,0.02013931311717642
2021-06-30,0.521354698330491,0.14239609633768474,0.2524678455573916,0.7282966892324215,0.4758288436750299,0.183692679000223,0.1623769316436391,0.6837316299741301,0.521354698330491,0.003007518796992481,0.6,0.009904272515452686
2021-07-30,0.4784533822666301,0.0911541284173179,0.3017499935165192,0.6486988985265593,0.34694890501004005,0.17770548427864075,0.1255730531848443,0.6040264354514744,0.4784533822666301,0.11127819548872178,0.8,0.03938405144704784
2021-08-31,0.5205547480116401,0.09251513816585992,0.29315992726949697,0.7425974157274298,0.4494374884579328,0.2037234663766807,0.09700857803461971,0.6175633260462599,0.5205547480116401,-0.306766917293233,0.2,-0.01680506514889715
2021-09-30,0.5102337240769346,0.09917974600446897,0.33775422753668877,0.6538506694037155,0.31609644186702673,0.13223156953647297,0.11408420487305948,0.624317928949994,0.5102337240769346,-0.08571428571428572,0.6,-0.012539188656523662
2021-10-29,0.5938566899226045,0.08404403831497236,0.4536244412892252,0.7471761117911379,0.29355167050191266,0.15414504371712667,0.1084325038306706,0.7022891937532751,0.5938566899226045,-0.05864661654135337,0.6,0.02912533346264692
2021-11-30,0.5356432596263132,0.0928925899097297,0.34856427224405334,0.7108603746833823,0.3622961024393289,0.16784260407193108,0.11104280044894987,0.6466860600752631,0.5356432596263132,-0.013533834586466165,0.4,-0.021403526774884416
2021-12-31,0.5474505593615058,0.09445898532108965,0.3738508039494732,0.7133929094138843,0.33954210546441116,0.1863304359329746,0.1345734456453881,0.6820240050068939,0.5474505593615058,0.3533834586466165,0.6,0.02182019638503676
2022-01-31,0.5610488945785467,0.1308297806743141,0.26708726530502747,0.81487601650752,0.5477887512024925,0.2623172965823122,0.16469383219926104,0.7257427267778077,0.5610488945785467,0.20150375939849624,0.6,0.016602785444009085
2022-02-28,0.563266665883438,0.11964741152805845,0.3592747011295805,0.8065489523098698,0.4472742511802893,0.23245610554794338,0.1545671163466985,0.7178337822301365,0.563266665883438,0.2721804511278195,0.4,0.015554823698739596
2022-03-31,0.6055389311305432,0.10035875233884026,0.4307288610738342,0.7674747334052257,0.33674587233139147,0.19161972892903645,0.13238293372616405,0.7379218648567073,0.6055389311305432,-0.1639097744360902,0.4,-0.06307310696445187
2022-04-29,0.5746669849197041,0.09929876869560067,0.35099313690264544,0.7456198909024028,0.39462675399975733,0.16628962469228958,0.11195466107791296,0.6866216459976171,0.5746669849197041,-0.19849624060150375,0.4,-0.011681743473974448
2022-05-31,0.6002496543229766,0.15521747868509023,0.3311526787790391,0.8409034766529274,0.5097507978738883,0.2536234087439265,0.19328470061962866,0.7935343549426053,0.6002496543229766,0.3383458646616541,0.8,0.023966081361268224
2022-06-30,0.5496131389082584,0.1449367613168827,0.34263738492758244,0.8793290624470168,0.5366916775194344,0.3454814730290149,0.1941496682317524,0.7437628071400108,0.5496131389082584,0.12932330827067667,0.6,0.030961274794704993
2022-07-29,0.536119896984038,0.1509398069332996,0.35694294431442264,0.8360655772123756,0.479122632897953,0.34818419400740996,0.22890751945349552,0.7650274164375335,0.536119896984038,-0.09172932330827067,0.8,0.01931032246186611
2022-08-31,0.5181407918305908,0.15519038147241207,0.19236805548620503,0.8089959796185198,0.6166279241323147,0.26322447200006316,0.17855930128378372,0.6967000931143745,0.5181407918305908,0.1744360902255639,0.6,0.011208994784438792
2022-09-30,0.5073405517655318,0.14989648128677902,0.13968668652581656,0.7419230671692932,0.6022363806434767,0.23370146012479942,0.16380351165016194,0.6711440634156938,0.5073405517655318,0.13233082706766916,0.4,0.004392070700433043
2022-10-31,0.6065049451480059,0.13429509226787384,0.35029908962385453,0.7962027312453168,0.4459036416214623,0.20074516992434432,0.16725223253657417,0.7737571776845801,0.6065049451480059,-0.39097744360902253,0.4,-0.062474857561488045
2022-11-30,0.5274643006552123,0.11022097974159033,0.27182046520497866,0.7299122903060334,0.4580918251010548,0.175630932419638,0.12238456399582143,0.6498488646510338,0.5274643006552123,-0.25864661654135335,0.6,-0.004417526168590924
2022-12-30,0.5322423649122352,0.17835509301352404,0.16792146637436534,0.7928010358277026,0.6248795694533372,0.2627852831728915,0.197311926033654,0.7295542909458892,0.5322423649122352,-0.037593984962406006,0.4,-0.02454754921196673
2023-01-31,0.5473172065665515,0.09603338140417926,0.3838946958854093,0.7186651854254091,0.3347704895399998,0.18553929590717788,0.11950662358069153,0.666823830147243,0.5473172065665515,-0.20902255639097742,0.2,-0.04915344293482458
2023-02-28,0.49686761714871724,0.14498315875968898,0.14787442266179698,0.7914409001744875,0.6435664775126906,0.28346952767042555,0.1638321200982104,0.6606997372469277,0.49686761714871724,0.2571428571428572,0.6,0.042358584630692975
2023-03-31,0.5467906139347091,0.10578655955593683,0.2970078142379757,0.6905752092648896,0.3935673950269139,0.12910661390890477,0.11823612305768005,0.6650267369923891,0.5467906139347091,0.13533834586466165,0.6,0.006547556240870812
2023-04-28,0.5700175344178221,0.09523486856550932,0.4505239632129915,0.7425245975534532,0.29200063434046175,0.17925208904540502,0.14151456664361473,0.7115321010614368,0.5700175344178221,0.23458646616541348,0.6,0.03212630690988644
2023-05-31,0.5401159313248817,0.07372212199779848,0.4292436295866369,0.751082881797333,0.32183925221069604,0.2191301961548635,0.09636896372701709,0.6364848950518988,0.5401159313248817,0.09473684210526315,0.4,-0.006285250377625513
2023-06-30,0.5670926764985411,0.09725148181645588,0.38606157608272257,0.7676017037463548,0.38154012766363227,0.19483984293677137,0.12255344248445899,0.6896461189830001,0.5670926764985411,0.35037593984962395,0.8,0.04171735213218447
2023-07-31,0.5640209182285707,0.09006204126190184,0.4270401797804523,0.7437694329827872,0.3167292532023349,0.19865403901327594,0.11387213437307442,0.6778930526016451,0.5640209182285707,-0.09022556390977443,0.4,-0.0076897031118133286
2023-08-31,0.525451050300115,0.06351334811169033,0.4403056587296336,0.6607545033537561,0.22044884462412245,0.14273486839963445,0.08340383082798386,0.6088548811280988,0.525451050300115,-0.22406015037593985,0.6,-0.013064738953980734
2023-09-29,0.5631734581658503,0.11792381130932464,0.34425498299046936,0.8109921440718588,0.46673716108138946,0.2510949900234738,0.14814133002109475,0.711314788186945,0.5631734581658503,0.11428571428571428,0.2,-0.018338823824371325
2023-10-31,0.5394377989787711,0.0881979192445304,0.39481674936829264,0.6897214611816533,0.2949047118133607,0.15947466498150187,0.11779389599366652,0.6572316949724376,0.5394377989787711,-0.13383458646616542,0.4,-0.011976498468119018
2023-11-30,0.5703296164855918,0.09563951161492502,0.41436796745556054,0.7612662176787053,0.34689825022314474,0.22903952897549995,0.13719812163638645,0.7075277381219782,0.5703296164855918,-0.18496240601503755,0.2,-0.015315083741121449
2023-12-29,0.5659048434214017,0.08831125916584795,0.4162914689938597,0.7164877741359378,0.30019630514207807,0.1675172524945615,0.11717790166926034,0.683082745090662,0.5659048434214017,0.37293233082706767,1.0,0.009132337820426925
2024-01-31,0.530622907471977,0.0899223082249129,0.4139364838457687,0.6987329422181232,0.2847964583723545,0.20529267092101655,0.12856459235512196,0.659187499827099,0.530622907471977,0.5849624060150376,0.8,0.09475346920042634
2024-02-29,0.5492423417433099,0.08909224604166237,0.42330354836115947,0.7314562000083271,0.30815265164716765,0.18204825370669886,0.1213806512306922,0.6706229929740021,0.5492423417433099,-0.05714285714285714,0.4,0.003074292608161871
2024-03-28,0.5544624987124414,0.0897759689542213,0.4343818062891283,0.724559083602212,0.2901772773130837,0.19516283455751038,0.1256392140167195,0.6801017127291609,0.5544624987124414,0.021052631578947364,0.8,0.02150611090139248
2024-04-30,0.5587257446840369,0.08355204804734938,0.3775351895856882,0.7183354749498166,0.34080028536412843,0.1404979479077506,0.09265405707577645,0.6513798017598134,0.5587257446840369,0.33320799648613736,0.4,0.009428338868749248
2024-05-31,0.5707786489474019,0.1126642404775582,0.34308837400901543,0.7766236929566609,0.43353531894764546,0.1916458197546751,0.13085937604872255,0.7016380249961245,0.5707786489474019,-0.015037593984962403,0.6,0.010688378672521107
2024-06-28,0.5593204180601017,0.09132140808068948,0.37477883058859246,0.7375311382795811,0.3627523076909886,0.18667796210285137,0.11738191071096005,0.6767023287710617,0.5593204180601017,-0.14736842105263157,0.6,-0.013830239975738845
2024-07-31,0.5155792463883249,0.0902350963453399,0.3824530134688785,0.7029821787321803,0.3205291652633018,0.18963354614049588,0.12018686846488902,0.6357661148532139,0.5155792463883249,-0.04962406015037594,0.6,-0.013732186157827042
2024-08-30,0.5263004653774447,0.085657840349396,0.35990055633753953,0.7336916402138273,0.37379108387628773,0.21128656747881702,0.10565091463791598,0.6319513800153607,0.5263004653774447,0.33533834586466166,0.6,0.011935606591976611
2024-09-30,0.5386095530109092,0.09435161727657478,0.4029818836949676,0.7620936358640973,0.35911175216912966,0.24475474692956012,0.12578789649712907,0.6643974495080383,0.5386095530109092,-0.019548872180451125,0.4,-0.014025160525940212
