strategy,best_month,best_monthly_return,worst_month,worst_monthly_return,median_monthly_return,positive_month_fraction,negative_month_fraction,skewness,excess_kurtosis,best_1_month_arithmetic_share,best_3_month_arithmetic_share,best_5_month_arithmetic_share,worst_1_month_arithmetic_share,worst_3_month_arithmetic_share,worst_5_month_arithmetic_share
momentum_3m_equal,2020-08-31,0.2928357759942681,2018-10-31,-0.12661889631183645,0.03302404549114274,0.6931818181818182,0.3068181818181818,0.7008031732990687,1.9974162207510946,0.1231646349964569,0.28644035727045886,0.42701968018899106,-0.053255003064266344,-0.1282049040021257,-0.19927732859786354
momentum_12_1_equal,2020-08-31,0.26592016586467637,2018-10-31,-0.1321141141657616,0.023382416331974083,0.6363636363636364,0.36363636363636365,0.6052098588754731,1.163257909128189,0.12245945057168799,0.3021268945530607,0.4493994498614291,-0.06084014644356659,-0.15532634179332647,-0.24589849627488955
momentum_max_sharpe,2020-08-31,0.39493759265335454,2018-10-31,-0.11808650376783524,0.018876297808300337,0.6136363636363636,0.38636363636363635,1.475450140896507,4.251405416391858,0.16390981840772328,0.36792321702663044,0.547487261600224,-0.04900910358760805,-0.13354289489279703,-0.20412571011155897
momentum_min_vol,2020-04-30,0.1735860561658568,2020-09-30,-0.0978132368182832,0.01600170099347961,0.6477272727272727,0.3522727272727273,0.4664843177684096,0.6218273659184339,0.11805200285853058,0.31346095837039045,0.4809724802539545,-0.06652059945092136,-0.16667271646560552,-0.262772087050481
ml,2020-08-31,0.2631071283641518,2022-04-29,-0.1323753923916392,0.02937895799681501,0.6363636363636364,0.36363636363636365,0.6085066474143804,1.7420268273702288,0.12089861407420216,0.2980093011769939,0.4295527461413528,-0.06082693987495324,-0.15049898819538132,-0.22451911578160774
benchmark,2020-04-30,0.1268440381652789,2020-03-31,-0.12511928240892822,0.0196316641928187,0.6590909090909091,0.3409090909090909,-0.4656885383184383,0.14731267707301043,0.13115798058504588,0.33657646678249,0.511368259961565,-0.1293745662024903,-0.3208448178479795,-0.49876398697595004
