date,rank_ic,rolling_mean_rank_ic,top_n_hit_rate
2018-08-31,-0.4526315789473684,,0.0
2018-09-28,0.025573525689680972,,0.4
2018-10-31,-0.04661654135338346,,0.6
2018-11-30,-0.10075187969924812,,0.6
2018-12-31,0.02858217577081991,,0.0
2019-01-31,0.010526315789473682,,0.2
2019-02-28,0.3383458646616541,,0.8
2019-03-29,-0.20300751879699244,,0.4
2019-04-30,-0.20601503759398496,,0.2
2019-05-31,0.09473684210526315,,0.6
2019-06-28,-0.13984962406015036,,0.6
2019-07-31,-0.04661654135338346,-0.05814366648230162,0.8
2019-08-30,-0.0631578947368421,-0.025687526131424426,0.8
2019-09-30,-0.4601503759398496,-0.0661645179338853,0.6
2019-10-31,0.5503759398496241,-0.016415144500301338,0.8
2019-11-29,0.1609022556390977,0.005389366777894147,0.4
2019-12-31,-0.05714285714285714,-0.001754385964912274,0.4
2020-01-31,0.13533834586466165,0.00864661654135339,0.8
2020-02-28,0.2857142857142857,0.004260651629072687,0.8
2020-03-31,0.0,0.02117794486215539,0.2
2020-04-30,-0.17142857142857143,0.02406015037593985,0.4
2020-05-29,0.35488721804511275,0.04573934837092732,0.4
2020-06-30,0.12481203007518797,0.06779448621553884,0.6
2020-07-31,0.12932330827067667,0.08245614035087719,0.8
2020-08-31,-0.19097744360902258,0.07180451127819548,0.4
2020-09-30,-0.33684210526315783,0.08208020050125314,0.2
2020-10-30,0.3578947368421052,0.06604010025062655,0.8
2020-11-30,0.3413533834586466,0.08107769423558897,0.8
2020-12-31,0.28721804511278193,0.10977443609022557,0.8
2021-01-29,-0.3037593984962406,0.0731829573934837,0.4
2021-02-26,0.23609022556390977,0.06904761904761904,0.6
2021-03-31,0.19248120300751878,0.0850877192982456,0.6
2021-04-30,0.18796992481203004,0.11503759398496238,0.6
2021-05-28,-0.1639097744360902,0.07180451127819547,0.6
2021-06-30,0.003007518796992481,0.06165413533834585,0.6
2021-07-30,0.11127819548872178,0.0601503759398496,0.8
2021-08-31,-0.306766917293233,0.05050125313283207,0.2
2021-09-30,-0.08571428571428572,0.07142857142857141,0.6
2021-10-29,-0.05864661654135337,0.03671679197994986,0.6
2021-11-30,-0.013533834586466165,0.007142857142857136,0.4
2021-12-31,0.3533834586466165,0.012656641604010019,0.6
2022-01-31,0.20150375939849624,0.054761904761904755,0.6
2022-02-28,0.2721804511278195,0.05776942355889723,0.4
2022-03-31,-0.1639097744360902,0.028070175438596495,0.4
2022-04-29,-0.19849624060150375,-0.004135338345864661,0.4
2022-05-31,0.3383458646616541,0.037719298245614034,0.8
2022-06-30,0.12932330827067667,0.048245614035087724,0.6
2022-07-29,-0.09172932330827067,0.03132832080200501,0.8
2022-08-31,0.1744360902255639,0.07142857142857141,0.6
2022-09-30,0.13233082706766916,0.08959899749373433,0.4
2022-10-31,-0.39097744360902253,0.061904761904761886,0.4
2022-11-30,-0.25864661654135335,0.04147869674185462,0.6
2022-12-30,-0.037593984962406006,0.008897243107769418,0.4
2023-01-31,-0.20902255639097742,-0.025313283208020055,0.2
2023-02-28,0.2571428571428572,-0.02656641604010025,0.6
2023-03-31,0.13533834586466165,-0.0016290726817042602,0.6
2023-04-28,0.23458646616541348,0.034461152882205505,0.6
2023-05-31,0.09473684210526315,0.014160401002506262,0.4
2023-06-30,0.35037593984962395,0.032581453634085204,0.8
2023-07-31,-0.09022556390977443,0.03270676691729322,0.4
2023-08-31,-0.22406015037593985,-0.0005012531328320904,0.6
2023-09-29,0.11428571428571428,-0.0020050125313283303,0.2
2023-10-31,-0.13383458646616542,0.019423558897243096,0.4
2023-11-30,-0.18496240601503755,0.02556390977443608,0.2
2023-12-29,0.37293233082706767,0.059774436090225556,1.0
2024-01-31,0.5849624060150376,0.12593984962406013,0.8
2024-02-29,-0.05714285714285714,0.09974937343358396,0.4
2024-03-28,0.021052631578947364,0.09022556390977442,0.8
2024-04-30,0.33320799648613736,0.09844402476983476,0.4
2024-05-31,-0.015037593984962403,0.08929615509564927,0.6
2024-06-28,-0.14736842105263157,0.04781745835379465,0.6
2024-07-31,-0.04962406015037594,0.05120091700041119,0.6
2024-08-30,0.33533834586466166,0.09781745835379464,0.6
2024-09-30,-0.019548872180451125,0.08666457614828087,0.4
2024-10-31,0.1533834586466165,0.11059941324101269,0.8
2024-11-29,-0.06466165413533834,0.1206244758976543,0.4
2024-12-31,0.3684210526315789,0.12024853604803022,0.6
2025-01-31,-0.20751879699248119,0.05420843579740367,0.6
2025-02-28,-0.12481203007518797,0.04856933805304276,0.2
2025-03-31,-0.12481203007518797,0.036413949581864814,0.2
2025-04-30,0.35037593984962395,0.037844611528822035,0.4
2025-05-30,0.22406015037593985,0.05776942355889723,0.4
2025-06-30,0.3789473684210526,0.10162907268170424,0.8
2025-07-31,-0.31879699248120297,0.07919799498746866,0.6
2025-08-29,-0.1789473684210526,0.03634085213032579,0.6
2025-09-30,-0.06616541353383458,0.032456140350877176,0.2
2025-10-31,0.11729323308270674,0.029448621553884696,0.8
2025-11-28,0.18045112781954886,0.04987468671679196,0.8
2025-12-31,,,
