strategy,Average Maximum Weight,Maximum Single-Name Weight,Average HHI,Maximum HHI,Average Effective Holdings,Minimum Effective Holdings
momentum_3m_equal,0.19999999999999998,0.2,0.2,0.20000000000000004,4.999999999999999,4.999999999999999
momentum_12_1_equal,0.19999999999999998,0.2,0.2,0.20000000000000004,4.999999999999999,4.999999999999999
momentum_max_sharpe,0.39068118488675874,0.4,0.3303943473153043,0.3600000000000001,3.069195567812601,2.7777777777777772
momentum_min_vol,0.39239018784256935,0.4,0.317579878963096,0.3600000000000001,3.18366730421771,2.7777777777777772
ml,0.19999999999999998,0.2,0.2,0.20000000000000004,4.999999999999999,4.999999999999999
