,momentum_3m_equal,momentum_12_1_equal,momentum_max_sharpe,momentum_min_vol,ml,benchmark
2018-09-28,-0.005117501166135274,0.010745035608632414,-0.0019963586096069814,-0.0008727555541604772,-0.01869410314062294,0.0042942874264617625
2018-10-31,-0.12661889631183645,-0.1321141141657616,-0.11808650376783524,-0.07166026823898655,-0.06158810294942276,-0.0694033560936963
2018-11-30,-0.01853468282737627,0.03186334034103185,-0.06506827651081122,-0.008524370680255548,-0.01266076690466576,0.01785935665477978
2018-12-31,-0.06854763213683009,-0.09882063183523966,-0.07680902410376735,-0.06964619277752175,-0.09963337994637789,-0.09177689467997252
2019-01-31,0.00887671828474172,0.08615171450605244,0.013826958782559828,0.025689092329631475,0.06523462108686424,0.07868440166582613
2019-02-28,0.0027193514087679124,0.03138674948983573,0.02468513206803868,0.020239299032675385,-0.0034884239660072365,0.029728889343927145
2019-03-29,0.0466810147615878,0.05087394404184533,0.052024848366891245,0.050213338088783165,0.05532305628404435,0.01792425624958849
2019-04-30,0.05931135180954523,0.024375524173782345,0.04063632448007257,0.04722862537700281,0.016111854997794176,0.03931349831373798
2019-05-31,-0.09093090117664361,-0.02356275639254533,-0.028187757248031554,-0.047779869671952316,-0.09551654223253762,-0.0657777313668354
2019-06-28,0.07088889228613071,0.06411888206435981,0.0560795282126284,0.06515392746443277,0.09189811556630535,0.0689301639982407
2019-07-31,0.019204852640049286,0.030974824460831493,0.011800981038028633,0.019870552024806476,0.017182914452631166,0.013128152166957952
2019-08-30,0.03792990554084937,0.024903576225294283,0.030044879927451664,0.03751869649496387,-0.00010988082366374352,-0.018091627240523933
2019-09-30,0.035490339681719996,-0.009048323010755352,0.014379877044880538,0.01419203318974371,0.025824004481979378,0.017181177931020697
2019-10-31,0.03828162885837625,0.009394012235801146,0.018159174921286002,0.01596149003468525,0.034442269095064364,0.020431770513684056
2019-11-29,0.04881353757182569,0.008519330917980085,0.028312728437793002,0.02952030162189445,0.054706639733129676,0.034047037714499906
2019-12-31,0.10370576406563468,0.03125922890155835,0.07556153807246176,0.05937917249806728,0.07665511078077583,0.02858981890573009
2020-01-31,0.09905329397521723,0.035897936717903936,-0.00857828538060937,-0.00748555716714262,0.08998379129702994,-0.0016280928190489652
2020-02-28,-0.01481727291361506,-0.03698770671975236,-0.06847112107446555,-0.07319969556587824,-0.029795305074952615,-0.08411048363840312
2020-03-31,-0.07309086320466844,-0.10094111386707273,-0.08485133450206296,-0.030762982338758765,-0.0640591074118194,-0.12511928240892822
2020-04-30,0.2140224285463665,0.20650118378918628,0.2490842558342957,0.1735860561658568,0.16439206552496727,0.1268440381652789
2020-05-29,0.06703872971799818,0.08199062047543254,0.03407438313077814,0.013792546697949404,0.03195174464755706,0.04528181966555822
2020-06-30,0.09454773658918254,0.1500458043605418,0.1710170988620399,0.04913024266927874,0.03679777786428516,0.01838839651392421
2020-07-31,0.17418131869412504,0.1185011821239003,0.21705324547778213,0.14214236386822823,0.1031770813996435,0.055101321480443666
2020-08-31,0.2928357759942681,0.26592016586467637,0.39493759265335454,0.14519092235684328,0.2631071283641518,0.07006466690171775
2020-09-30,-0.08486520807906718,-0.0807770665100103,-0.11255481671582512,-0.0978132368182832,-0.06673387366380498,-0.039227970178423055
