strategy,start_date,date,observations,annual_return,annual_volatility,sharpe,max_drawdown,annual_active_return,tracking_error,information_ratio
momentum_3m_equal,2018-09-28,2020-08-31,24,0.5706215915954194,0.32747883991576454,1.5511305874764325,-0.2056512969213642,0.39301965266265604,0.21904596006259877,1.7942337423175443
momentum_3m_equal,2018-10-31,2020-09-30,24,0.5063580105559162,0.3381872257613695,1.3841108008569951,-0.2015653064460189,0.3749069280086325,0.22412289372407487,1.6727739044374146
momentum_3m_equal,2018-11-30,2020-10-30,24,0.5743119754117487,0.32201098548010243,1.5787559093079917,-0.12700038200309205,0.3943262973731013,0.21771617558116488,1.8111943052485593
momentum_3m_equal,2018-12-31,2020-11-30,24,0.7134556479266954,0.3295271155611132,1.8176222989525834,-0.12700038200309205,0.44006224514316417,0.21206982949011993,2.075081807729119
momentum_3m_equal,2019-01-31,2020-12-31,24,0.8239875966333248,0.3177237260701843,2.08036142737103,-0.12700038200309205,0.43763741917999943,0.21225785841801306,2.0618196303391128
momentum_3m_equal,2019-02-28,2021-01-29,24,0.8590914211070222,0.31595354440157014,2.1540619646656514,-0.12700038200309216,0.5021512787103467,0.1976576060304838,2.540510779195121
momentum_3m_equal,2019-03-29,2021-02-26,24,0.9416347332076938,0.3143890786516169,2.3095344782904426,-0.12700038200309205,0.5494789018407388,0.19169620201820078,2.866404738621623
momentum_3m_equal,2019-04-30,2021-03-31,24,0.9198806095380319,0.31535529631094894,2.2654798574687365,-0.12700038200309205,0.5255603686936152,0.1968295430769776,2.6701294962010604
momentum_3m_equal,2019-05-31,2021-04-30,24,0.9069756572686221,0.3155202200001484,2.241804279233736,-0.12700038200309205,0.5119079648192677,0.19948113022513173,2.566197435524529
momentum_3m_equal,2019-06-28,2021-05-28,24,1.007880572810321,0.29830376108763385,2.536707239504291,-0.12700038200309205,0.5256505857418032,0.1955136069852689,2.688562672680928
momentum_3m_equal,2019-07-31,2021-06-30,24,0.9982613106194942,0.2982513902539676,2.5199923911001543,-0.12700038200309205,0.543890586710688,0.19312708703942189,2.816231503557379
momentum_3m_equal,2019-08-30,2021-07-30,24,0.9922438685823818,0.298748088685467,2.5055446791173486,-0.12700038200309205,0.5360160853072813,0.19510784410789406,2.7472810627278825
momentum_3m_equal,2019-09-30,2021-08-31,24,1.0292488192231186,0.2983536385964579,2.5740754320215133,-0.12700038200309194,0.5319331507223183,0.19494529798422572,2.7286277546707502
momentum_3m_equal,2019-10-31,2021-09-30,24,0.9337430390151946,0.31044393517697394,2.320537133840822,-0.12700038200309205,0.5167202324772523,0.19822359015345098,2.606754484051284
momentum_3m_equal,2019-11-29,2021-10-29,24,1.0541591173469889,0.3197472561764992,2.4615209063917813,-0.12700038200309216,0.5590320758198115,0.20161111970227588,2.7728236252313265
momentum_3m_equal,2019-12-31,2021-11-30,24,1.0838752970621015,0.3196410249593612,2.5101496356083874,-0.12700038200309183,0.5955046942568052,0.20220175409407726,2.945101524587853
momentum_3m_equal,2020-01-31,2021-12-31,24,0.9745400958286379,0.3227910526264761,2.3109610378109853,-0.12700038200309205,0.5316038906251873,0.21366515954181944,2.4880232779417626
momentum_3m_equal,2020-02-28,2022-01-31,24,0.7994004066175096,0.33820091653308165,1.9302018872303284,-0.12700038200309216,0.46392092811075913,0.21645060223412496,2.143310867802329
momentum_3m_equal,2020-03-31,2022-02-28,24,0.8321907480420798,0.33528987093069307,2.000992559837384,-0.12700038200309194,0.45566242203048435,0.21554420106950326,2.1140091905490594
momentum_3m_equal,2020-04-30,2022-03-31,24,0.9545307967164167,0.32153056644561606,2.2855399980703996,-0.12700038200309205,0.4391745697327814,0.21568338659168848,2.0362002687030567
momentum_3m_equal,2020-05-29,2022-04-29,24,0.7697275873005274,0.30402559062879614,2.057426619051704,-0.12700038200309194,0.43721431753650586,0.21522101554371964,2.031466659665914
momentum_3m_equal,2020-06-30,2022-05-31,24,0.7276554917224773,0.30480815351779417,1.9699110175817802,-0.12700038200309205,0.43476323534782263,0.2154232614631747,2.0181814739730077
momentum_3m_equal,2020-07-31,2022-06-30,24,0.6106811569652082,0.3106606134894994,1.7023247489991313,-0.12700038200309194,0.41431774459066484,0.21339983653882688,1.9415091937771098
momentum_3m_equal,2020-08-31,2022-07-29,24,0.5161869160066108,0.2954583454179768,1.563604278381188,-0.12700038200309205,0.3294448915623289,0.2120605337086707,1.5535417449006383
momentum_3m_equal,2020-09-30,2022-08-31,24,0.310917339816442,0.23224316646845036,1.286570334078686,-0.12700038200309205,0.22251452444151765,0.15572746369003446,1.4288714345493903
momentum_3m_equal,2020-10-30,2022-09-30,24,0.3159490395221274,0.23055471180801693,1.3112569805471377,-0.1299065480701379,0.253117682344433,0.14840865396893888,1.7055453005955377
momentum_3m_equal,2020-11-30,2022-10-31,24,0.3741528900269584,0.22464155623754017,1.5377505916103258,-0.1299065480701378,0.24247929306348454,0.15207822060752957,1.5944379944400733
momentum_3m_equal,2020-12-31,2022-11-30,24,0.3023238165511959,0.20233283872201327,1.4147921073153336,-0.12990654807013813,0.2101918813792366,0.15120525730853288,1.3901096107415238
momentum_3m_equal,2021-01-29,2022-12-30,24,0.2517625803387942,0.2037500583605352,1.207733409915702,-0.1299065480701378,0.21805519744306856,0.15166036289544002,1.4377863357310006
momentum_3m_equal,2021-02-26,2023-01-31,24,0.23028406501917376,0.20278989371910197,1.1255313280860355,-0.12990654807013802,0.1637810637938008,0.15570076048323778,1.051896363803778
momentum_3m_equal,2021-03-31,2023-02-28,24,0.21113916408943534,0.1976381342510122,1.0694229747147468,-0.12990654807013802,0.17299541949613745,0.15953338571846232,1.0843838029077644
momentum_3m_equal,2021-04-30,2023-03-31,24,0.2383935980901033,0.2010589454404826,1.1670540016093205,-0.1299065480701379,0.19997681486204086,0.1581794327421961,1.2642403085865592
momentum_3m_equal,2021-05-28,2023-04-28,24,0.20806182456992084,0.20088387338083666,1.0422051878002085,-0.12990654807013802,0.1935838728518225,0.15944371309159344,1.214120451024726
momentum_3m_equal,2021-06-30,2023-05-31,24,0.2661560830120824,0.2104361343555817,1.2307407221247346,-0.12990654807013802,0.24471604847804762,0.17081773494734448,1.4326149948861147
momentum_3m_equal,2021-07-30,2023-06-30,24,0.26487864600592936,0.21023426243137686,1.2268350271725443,-0.1299065480701379,0.22238975791351945,0.17127405684717623,1.2984439208557574
momentum_3m_equal,2021-08-31,2023-07-31,24,0.2873966135580601,0.21104729842387784,1.3083254256033312,-0.12990654807013802,0.23639010862046356,0.1700080333053125,1.3904643446815093
momentum_3m_equal,2021-09-30,2023-08-31,24,0.2415147154108528,0.20771995197290466,1.1478165670435811,-0.1299065480701378,0.2220493674307536,0.16873459503545782,1.315968236294947
momentum_3m_equal,2021-10-29,2023-09-29,24,0.23392777903902484,0.2101531315208261,1.1072672023152008,-0.1299065480701379,0.21689573457946204,0.16986412950082447,1.2768777917789245
momentum_3m_equal,2021-11-30,2023-10-31,24,0.10836352969131946,0.18391481402711957,0.6499650285810649,-0.1299065480701379,0.14930002450753121,0.16151188205964648,0.9243903457975592
momentum_3m_equal,2021-12-31,2023-11-30,24,0.0861083240035152,0.17786817447929937,0.5514341916137679,-0.1299065480701378,0.07908793267636414,0.1578488899200168,0.5010357229400763
momentum_3m_equal,2022-01-31,2023-12-29,24,0.11859373677356588,0.1799005400368402,0.712418044458551,-0.1219495061327519,0.10886157175149039,0.151677290311044,0.7177183316516823
momentum_3m_equal,2022-02-28,2024-01-31,24,0.20136038065288742,0.1669055712826235,1.1874819001146482,-0.1219495061327518,0.14465408943462538,0.14933091870808643,0.9686814404282654
momentum_3m_equal,2022-03-31,2024-02-29,24,0.27573068046453186,0.19241343203370634,1.3688509584051387,-0.1219495061327518,0.1683014890727599,0.159460911648887,1.0554404043753287
momentum_3m_equal,2022-04-29,2024-03-28,24,0.26244820149776604,0.19108121652802118,1.3212182480508807,-0.12194950613275168,0.15975342258808378,0.15963781447436837,1.000724190030389
momentum_3m_equal,2022-05-31,2024-04-30,24,0.22355330966381293,0.19989202372269968,1.1119404549100678,-0.12194950613275168,0.10639064020939126,0.15293760925301103,0.6956473344197817
momentum_3m_equal,2022-06-30,2024-05-31,24,0.2599015880708082,0.20428747382415974,1.2380895146342445,-0.12194950613275168,0.11306478550781116,0.1535912588143893,0.7361407568411608
momentum_3m_equal,2022-07-29,2024-06-28,24,0.3163540632777333,0.1979647935207086,1.4977829466494055,-0.1219495061327518,0.09735199735883422,0.15243526167152666,0.6386448666228686
momentum_3m_equal,2022-08-31,2024-07-31,24,0.2806089407250716,0.1995692900589783,1.3460930157373796,-0.12194950613275168,0.10938007051177476,0.1484937690596401,0.7365970384107096
momentum_3m_equal,2022-09-30,2024-08-30,24,0.3189096775640379,0.19525814153754467,1.5260643514103909,-0.1219495061327518,0.10608031452599388,0.1485718190284884,0.7140002405547256
momentum_3m_equal,2022-10-31,2024-09-30,24,0.4119047602710726,0.18101533239055978,2.0180079244364517,-0.12194950613275168,0.1165979225596126,0.14980830031442577,0.7783141676054702
momentum_3m_equal,2022-11-30,2024-10-31,24,0.3769271103817444,0.1831478126828268,1.8555507601005676,-0.12194950613275168,0.13602768895542064,0.1455872506002382,0.9343379203508229
momentum_3m_equal,2022-12-30,2024-11-29,24,0.36953433677884706,0.18281053098846273,1.8283873632433534,-0.1219495061327519,0.12866188958335487,0.14705236664434115,0.874939264966301
momentum_3m_equal,2023-01-31,2024-12-31,24,0.39781705054658856,0.1789108487621868,1.981960510225601,-0.12194950613275168,0.13201699344071774,0.14768428706807463,0.8939136049041215
momentum_3m_equal,2023-02-28,2025-01-31,24,0.4386745496304534,0.18093934277697177,2.125681404577959,-0.12194950613275168,0.17941042943780217,0.1426037761269117,1.2581043385424382
momentum_3m_equal,2023-03-31,2025-02-28,24,0.33732692230520733,0.19728712678529564,1.5843926410395457,-0.1219495061327518,0.10143610437469769,0.14464425868900216,0.7012798523361663
momentum_3m_equal,2023-04-28,2025-03-31,24,0.2657259918972361,0.20008116071513973,1.283624909699879,-0.12218788977093331,0.09198314950909987,0.14345480160845697,0.6411995170447976
momentum_3m_equal,2023-05-31,2025-04-30,24,0.22239515118681297,0.21011334067389373,1.0630670108459683,-0.1857236654768809,0.0696521911669239,0.15122914663279644,0.4605738557531389
momentum_3m_equal,2023-06-30,2025-05-30,24,0.16526884467385927,0.19981281604036907,0.8649908906337814,-0.18572366547688102,-0.010396843521625163,0.13849859180046892,-0.07506822550660736
momentum_3m_equal,2023-07-31,2025-06-30,24,0.14504405481259153,0.19726116231495272,0.7838531794290061,-0.18572366547688113,-0.02104900725173161,0.13974145444403324,-0.15062822507090606
momentum_3m_equal,2023-08-31,2025-07-31,24,0.1443933079950217,0.19714754811377305,0.7812804732924117,-0.18572366547688102,-0.016909081899216333,0.14048295832123447,-0.12036393667444906
momentum_3m_equal,2023-09-29,2025-08-29,24,0.12978681173491702,0.198724280770237,0.7111711108462769,-0.18572366547688102,-0.04800106127343162,0.14259482695011597,-0.33662554455936794
