strategy,net_arithmetic_contribution,positive_contribution_total,largest_contributor,largest_contributor_contribution,top_2_contribution,top_3_contribution,top_5_contribution,bottom_contributor,bottom_3_contribution,top_1_share,top_2_share,top_3_share,top_5_share,positive_contribution_hhi,share_denominator
momentum_3m_equal,2.4133120379784163,2.496225406835486,NVDA,0.6008097048151466,1.153641891465762,1.440485496948262,1.7986551395669306,UNH,-0.08133522233612907,0.2406872805516409,0.46215453472539425,0.5770654737363616,0.7205499690218765,0.1426291567281396,sum_of_positive_security_contributions
momentum_12_1_equal,2.1938978282107175,2.3132007940382295,NVDA,0.5675582779286537,1.0078100519701803,1.2204783551905927,1.571302535944248,HD,-0.11930296582751229,0.2453562524236596,0.4356777217816935,0.527614532355388,0.6792763256842802,0.128309561457264,sum_of_positive_security_contributions
momentum_max_sharpe,2.4534854493223013,2.711457725723456,TSLA,0.775248198451325,1.407789784636076,1.7287098637902023,2.1141205980275495,UNH,-0.20974934965772501,0.2859156501304027,0.5192003442577949,0.6375573726966213,0.7796988970069492,0.16911925734674144,sum_of_positive_security_contributions
momentum_min_vol,1.517647800878418,1.694746169254513,COST,0.2821533136345162,0.5287730857891118,0.7638448442583651,1.1014032919626495,UNH,-0.15607201304243004,0.16648706381713205,0.31200724650211725,0.4507134213463755,0.6498927756521415,0.10845042253333109,sum_of_positive_security_contributions
ml,2.2345899094398782,2.2635293841875717,TSLA,0.7027554126065689,1.0501441126086783,1.2002473215213607,1.4530406403024239,KO,-0.010268778502018312,0.31046887109831034,0.46394101174241975,0.5302548002716363,0.6419358416343027,0.14304325582057112,sum_of_positive_security_contributions
