year,observations,mean_rank_ic,median_rank_ic,rank_ic_std,positive_rank_ic_fraction,top_n_hit_rate,average_top_n_return_spread
2018,5,-0.10916885970789983,-0.04661654135338346,0.19942488296940936,0.4,0.32,-0.012768083622142101
2019,12,-0.0017543859649122705,-0.0518796992481203,0.2657250690010367,0.4166666666666667,0.5499999999999999,0.0048048528450079005
2020,12,0.10977443609022557,0.13233082706766916,0.2374139501501339,0.6666666666666666,0.5833333333333334,0.033387940736168555
2021,12,0.012656641604010024,-0.005263157894736842,0.21055800790002793,0.5,0.5499999999999999,0.006239255227818937
2022,12,0.008897243107769426,0.04586466165413533,0.23134666101251952,0.5,0.5333333333333333,-0.003683202511251015
2023,12,0.059774436090225556,0.10451127819548872,0.22046002841095996,0.5833333333333334,0.5,0.0008382163601838062
2024,12,0.12024853604803025,0.0030075187969924805,0.23043089269074396,0.5,0.5833333333333334,0.01568524733806805
2025,11,0.020915926179084065,-0.06616541353383458,0.2388152249109193,0.45454545454545453,0.509090909090909,0.002349260524687732
