year,momentum_3m_equal,momentum_12_1_equal,momentum_max_sharpe,momentum_min_vol,ml,benchmark,observations,partial_year,best_strategy,worst_strategy,momentum_3m_equal_excess_vs_benchmark,momentum_12_1_equal_excess_vs_benchmark,momentum_max_sharpe_excess_vs_benchmark,momentum_min_vol_excess_vs_benchmark,ml_excess_vs_benchmark
2018,-0.2056512969213642,-0.18428646952008598,-0.24032197900887364,-0.14442532198399916,-0.1813774683122762,-0.13602178141743781,4,True,momentum_min_vol,momentum_max_sharpe,-0.06962951550392638,-0.04826468810264817,-0.10430019759143583,-0.00840354056656134,-0.045355686894838376
2019,0.4376034400810789,0.37737655877191356,0.38958866390733315,0.38806985156982265,0.3777678497773198,0.28878070225158425,12,False,momentum_3m_equal,momentum_12_1_equal,0.14882273782949462,0.08859585652032931,0.1008079616557489,0.0992891493182384,0.08898714752573555
2020,1.3142200831716004,1.0552726080363453,1.4497598891695342,0.3991131263799004,1.0101151271257032,0.16258923055706131,12,False,momentum_max_sharpe,momentum_min_vol,1.1516308526145391,0.892683377479284,1.287170658612473,0.23652389582283906,0.8475258965686419
2021,0.6847181555402087,0.4890112021839228,0.3836412184999476,0.5161993810140253,0.5002603772485781,0.26892738661371185,12,False,momentum_3m_equal,momentum_max_sharpe,0.4157907689264968,0.22008381557021095,0.11471383188623574,0.24727199440031344,0.23133299063486623
2022,-0.0699277784930128,-0.04743987231581359,0.0033116727027702186,0.03338407334944171,-0.14370205439576567,-0.1944282720342927,12,False,momentum_min_vol,ml,0.1245004935412799,0.1469883997184791,0.1977399447370629,0.2278123453837344,0.05072621763852703
2023,0.34532772726150074,0.2109229700279458,0.27145693298055806,-0.0026009905840890246,0.3373150294525069,0.2423050079762994,12,False,momentum_3m_equal,momentum_min_vol,0.10302271928520135,-0.03138203794835359,0.029151925004258672,-0.24490599856038842,0.09501002147620752
2024,0.45235429791968684,0.5703709312673122,0.5012986515359363,0.23340140150742372,0.5780825086413848,0.233090023434241,12,False,ml,momentum_min_vol,0.21926427448544583,0.3372809078330712,0.2682086281016953,0.00031137807318271093,0.34499248520714376
2025,0.05948581633904482,0.1194461930956956,0.20283523775964096,0.19869249383638388,0.1671166085761393,0.1638780638006747,12,False,momentum_max_sharpe,momentum_3m_equal,-0.1043922474616299,-0.044431870704979115,0.03895717395896625,0.034814430035709165,0.0032385447754645913
