strategy,baseline_sharpe,baseline_information_ratio,worst_leave_one_out_sharpe,leave_one_out_sharpe_std,positive_active_subperiod_ratio,sharpe_100bps,delayed_execution_sharpe,delayed_execution_sharpe_delta,bootstrap_p_active_return_positive,bootstrap_p_sharpe_above_benchmark,bootstrap_sharpe_p5,bootstrap_sharpe_median,top1_contribution_share,top3_contribution_share,best3_month_arithmetic_share,rolling_24m_positive_active_ratio,rolling_24m_sharpe_above_benchmark_ratio,average_effective_holdings,average_max_weight
momentum_3m_equal,1.3380714175106458,1.1095787854817165,1.2153970818046316,0.0440819283160624,1.0,1.150478690881707,1.0393644330442735,-0.2987069844663721,0.9946,0.9574,0.7452684642750608,1.3606365726318757,0.2406872805516409,0.5770654737363616,0.28644035727045886,0.9230769230769231,0.8461538461538461,,
momentum_12_1_equal,1.2092839937585151,1.0772298287484574,0.9876585148847612,0.0606465900613525,1.0,1.0927126849675568,1.1810197266589646,-0.0282642670995505,0.9996,0.9634,0.6927444650166521,1.225820661254665,0.2453562524236596,0.527614532355388,0.3021268945530607,1.0,0.9076923076923077,,
momentum_max_sharpe,1.1414257376296748,0.9042587190324158,,,0.75,0.949982770797404,1.013488753666448,-0.1279369839632269,0.9944,0.911,0.6648396885932748,1.177170221463703,0.2859156501304027,0.6375573726966213,0.36792321702663044,0.9846153846153847,0.8307692307692308,3.209893524415513,0.3789304864855842
momentum_min_vol,1.1104824473996198,0.5268952577290896,,,0.75,0.7838001565907304,0.7899016216888225,-0.3205808257107972,0.9378,0.8852,0.6582043787108695,1.1239553335651689,0.16648706381713205,0.4507134213463755,0.31346095837039045,0.676923076923077,0.6615384615384615,3.354016866371679,0.37854012527266523
ml,1.2909004212855009,1.2458206937952305,0.94200711829599,0.1530564999713335,1.0,0.9780356693844594,1.1170101926114555,-0.1956251306401248,0.9996,0.989,0.7289535783980484,1.3071818231152026,0.31046887109831034,0.5302548002716363,0.2980093011769939,1.0,0.9538461538461539,,
