strategy,counterfactual,removed_months,observations,annual_return,annual_volatility,sharpe,max_drawdown
momentum_3m_equal,baseline,,88,0.34041779836627173,0.24230221801863244,1.3380714175106458,-0.2056512969213642
momentum_3m_equal,remove_best_1_months,2020-08-31,87,0.298127724804943,0.22230681396485877,1.2934968820659287,-0.2056512969213642
momentum_3m_equal,remove_best_3_months,2020-07-31|2020-04-30|2020-08-31,85,0.24236132570483826,0.20498377632692888,1.1684529237926744,-0.2056512969213642
momentum_3m_equal,remove_best_5_months,2020-11-30|2021-10-29|2020-07-31|2020-04-30|2020-08-31,83,0.19429866863581924,0.1911703216894864,1.030292403721221,-0.2056512969213642
momentum_3m_equal,remove_worst_1_months,2018-10-31,87,0.37029015850366753,0.23677321862310224,1.4588178071996731,-0.18572366547688102
momentum_3m_equal,remove_worst_3_months,2018-10-31|2019-05-31|2022-01-31,85,0.41734479103999544,0.23093609819757432,1.6398215490723034,-0.1857236654768809
momentum_3m_equal,remove_worst_5_months,2018-10-31|2019-05-31|2022-01-31|2020-09-30|2025-02-28,83,0.46626007974444694,0.22493462793098626,1.8327556553456612,-0.12194950613275168
momentum_12_1_equal,baseline,,88,0.30318265765590335,0.24486642223332244,1.2092839937585151,-0.20763364403817963
momentum_12_1_equal,remove_best_1_months,2020-08-31,87,0.2653252726382862,0.22900366245498535,1.1477458344945284,-0.20763364403817952
momentum_12_1_equal,remove_best_3_months,2021-10-29|2020-04-30|2020-08-31,85,0.20992916304182718,0.21185940492422703,1.0098340271456903,-0.20763364403817963
momentum_12_1_equal,remove_best_5_months,2022-10-31|2024-02-29|2021-10-29|2020-04-30|2020-08-31,83,0.16446503692263992,0.1998225118263777,0.8650761667768103,-0.24488300103725358
momentum_12_1_equal,remove_worst_1_months,2018-10-31,87,0.33295382581907895,0.23913831124811616,1.3286841326784766,-0.20763364403817963
momentum_12_1_equal,remove_worst_3_months,2018-10-31|2025-03-31|2020-03-31,85,0.38364617206110263,0.23168188589691435,1.5287408917880558,-0.20763364403817974
momentum_12_1_equal,remove_worst_5_months,2018-10-31|2025-03-31|2020-03-31|2018-12-31|2022-04-29,83,0.4368873550551693,0.2237989441897213,1.7477799316830258,-0.1288319207660341
momentum_max_sharpe,baseline,,88,0.33327312802143183,0.28785542471137454,1.1414257376296748,-0.24032197900887364
momentum_max_sharpe,remove_best_1_months,2020-08-31,87,0.27766320520859633,0.25447327552042415,1.0919341340868034,-0.24032197900887364
momentum_max_sharpe,remove_best_3_months,2020-11-30|2020-04-30|2020-08-31,85,0.20773672063182214,0.22759899036685083,0.9446813313893314,-0.24032197900887364
momentum_max_sharpe,remove_best_5_months,2024-02-29|2020-07-31|2020-11-30|2020-04-30|2020-08-31,83,0.14644848864233828,0.2031377919441662,0.7760089692003515,-0.24032197900887364
momentum_max_sharpe,remove_worst_1_months,2018-10-31,87,0.3610761623089964,0.2843196383713126,1.2261903612591267,-0.15529003507472328
momentum_max_sharpe,remove_worst_3_months,2018-10-31|2020-09-30|2022-01-31,85,0.4132279542364208,0.27878162186243216,1.3831193096833516,-0.15482546986848
momentum_max_sharpe,remove_worst_5_months,2018-10-31|2020-09-30|2022-01-31|2022-06-30|2020-03-31,83,0.4621495766207917,0.2747726678768615,1.5265989454339373,-0.14656384378760945
momentum_min_vol,baseline,,88,0.20134167250911017,0.18056282964799242,1.1104824473996198,-0.1455504842335229
momentum_min_vol,remove_best_1_months,2020-04-30,87,0.17758965547776873,0.17178059080824062,1.0412915788612296,-0.14555048423352313
momentum_min_vol,remove_best_3_months,2020-07-31|2020-08-31|2020-04-30,85,0.1381605151871168,0.1592548330767934,0.89490392955406,-0.15618248533229007
momentum_min_vol,remove_best_5_months,2021-02-26|2022-10-31|2020-07-31|2020-08-31|2020-04-30,83,0.10403469241377561,0.1490307996361683,0.7403873398906524,-0.17572272518878274
momentum_min_vol,remove_worst_1_months,2020-09-30,87,0.22109163580167013,0.17643963873459978,1.2259607274813664,-0.14555048423352313
momentum_min_vol,remove_worst_3_months,2020-09-30|2022-09-30|2020-02-28,85,0.2536268400725328,0.17150877291760336,1.4121034003486204,-0.14442532198399916
momentum_min_vol,remove_worst_5_months,2020-09-30|2022-09-30|2020-02-28|2018-10-31|2018-12-31,83,0.28746507892876605,0.166310731635981,1.61417021570985,-0.0958625088575189
ml,baseline,,88,0.3082573020577686,0.2298884349223671,1.2909004212855009,-0.19862249554466727
ml,remove_best_1_months,2020-08-31,87,0.27069908854554847,0.21317413242011365,1.2378777197556483,-0.19862249554466715
ml,remove_best_3_months,2020-04-30|2020-11-30|2020-08-31,85,0.21594670211957867,0.19434971931680453,1.1097395208537661,-0.19862249554466738
ml,remove_best_5_months,2022-07-29|2024-02-29|2020-04-30|2020-11-30|2020-08-31,83,0.1753585609008219,0.18423272666614965,0.9742337260998796,-0.27985540257665775
ml,remove_worst_1_months,2022-04-29,87,0.33825975698717725,0.22356117705881948,1.4243654750261663,-0.1813774683122762
ml,remove_worst_3_months,2022-04-29|2018-12-31|2019-05-31,85,0.3871005875424054,0.21601808462129896,1.636325666988633,-0.1329078641160546
ml,remove_worst_5_months,2022-04-29|2018-12-31|2019-05-31|2025-03-31|2022-09-30,83,0.4324465892970071,0.21016969310944372,1.8332003228970415,-0.1138102583253412
benchmark,baseline,,88,0.12417411806408207,0.16926332430294275,0.7791320078308716,-0.24769522239058828
benchmark,remove_best_1_months,2020-04-30,87,0.1072973159088162,0.16458682444715544,0.7041790205804647,-0.2476952223905885
benchmark,remove_best_3_months,2022-07-29|2020-11-30|2020-04-30,85,0.08067831036419149,0.15925755060857566,0.5687592850507305,-0.31051830646915346
benchmark,remove_best_5_months,2022-10-31|2023-11-30|2022-07-29|2020-11-30|2020-04-30,83,0.057597035476274705,0.15556136085251218,0.4391960568428203,-0.31630200164640254
benchmark,remove_worst_1_months,2020-03-31,87,0.14663430862007187,0.1623838637637795,0.9277532065458944,-0.24769522239058817
benchmark,remove_worst_3_months,2020-03-31|2022-09-30|2018-12-31,85,0.1823253494290329,0.15415380048652888,1.1698635753520616,-0.20578330167889258
benchmark,remove_worst_5_months,2020-03-31|2022-09-30|2018-12-31|2022-04-29|2020-02-28,83,0.21839262199187393,0.1458785770047953,1.4365482679508235,-0.1291896902258357
