,momentum_3m_equal,momentum_12_1_equal,momentum_max_sharpe,momentum_min_vol,ml
2018-09-28,0.6,0.2067562271687125,0.4956512162494262,0.746051214449118,1.0
2018-10-31,0.6008221397135605,0.20504806927445762,0.4780073261223621,0.7665886972994319,0.6
2018-11-30,0.7999999999999999,0.416192470475542,0.7401386370664473,0.8012819871801282,0.47028330855880607
2018-12-31,0.6,0.20646406554288493,0.903423158948877,0.7754303657595091,0.6771133191135426
2019-01-31,0.20404244143937159,0.20739473131239095,0.389918371584381,0.2620011610603671,0.6226232250235042
2019-02-28,0.8,0.41103546099279953,0.6,0.8091404774541026,0.8022501769160856
2019-03-29,0.20696644970116557,0.42822021669717725,0.201452988546992,0.18851000000000004,1.0
2019-04-30,0.6027571689354093,0.6007204596868527,0.6017909612147399,0.9689103981406579,0.7999999999999999
2019-05-31,0.4104484365841522,0.4,0.6,0.7999999999999998,1.0
2019-06-28,0.6,0.2075105560130922,0.65093,0.8900715145241656,0.8286585644356833
2019-07-31,0.4036654867459637,0.20234423238704788,0.7999999999999998,0.8431365403141768,0.42649169775230056
2019-08-30,0.8040415685616638,0.010145827127711754,0.7828621713782864,0.7613000000000001,0.4
2019-09-30,0.7999999999999999,0.20465255428456486,0.8881066587376831,0.8935951022672065,0.6012954528553786
2019-10-31,0.41368178547783296,0.605243571963628,0.4149039602958491,0.48203999999999997,1.0
2019-11-29,0.6053262580009742,0.40050678163413633,0.8014806118550479,0.7162384013255767,0.6067472360940122
2019-12-31,0.20032860409894526,0.419326959727824,0.5959706347680699,0.4326743509168656,0.40204790017611336
2020-01-31,0.2125585234887386,0.4045926256998039,0.17595479758551275,0.3513152149050668,0.4151814257258578
2020-02-28,0.4254204939706564,0.2060793383367683,0.6,0.7607560508457407,0.4356665651413639
2020-03-31,0.406350572251853,0.22727459918761178,0.47213333348937725,0.6101961019610196,0.6000000000000001
2020-04-30,0.23081422896140646,0.04045014494043346,0.534446912445677,0.44829999781154395,0.43248079505343995
2020-05-29,0.4173690172402632,0.23632258119763477,0.6000000000000001,0.5629899999999999,0.6163166407727655
2020-06-30,0.21974183708416045,0.21314396666617197,0.40917377005648187,0.4432176148260336,0.6155860438494527
2020-07-31,0.22012149105521503,0.22125338209875955,0.23406999999999992,0.2768899999999999,0.6103927366596877
2020-08-31,0.025648715858050133,0.04517608490057669,0.12668951293216446,0.028258458774210186,0.39999999999999997
2020-09-30,0.06939501666532662,0.24933366382981176,0.1630734746603251,0.0627600356750104,0.40798613850091603
2020-10-30,0.415739058609374,0.21905642709569367,0.6120303841947516,0.8351200000000001,0.4242459122276966
2020-11-30,0.2163235327230423,0.2153983137070665,0.023098428115104194,0.19999999999999998,0.40957503597434297
2020-12-31,0.4221867107562682,0.05523482991827244,0.1390699853638352,0.31050999999999995,0.43674126684155473
2021-01-29,0.40593777932779795,0.0366891861588433,0.5446674934862392,0.6774198121425443,0.6006732122165594
2021-02-26,0.22088567965198125,0.2215642757358049,0.22975678933367044,0.4080852434768013,0.4087912858889129
2021-03-31,0.2443707136486675,0.2350553126988974,0.4568790851901581,0.4158145724604247,0.7999999999999999
2021-04-30,0.20068733021997726,0.40631238955349336,0.4411370784862072,0.40729922701432286,1.0
2021-05-28,0.4156500880869277,0.01797758328018112,0.6034888618415344,0.69641,0.8
2021-06-30,0.601351068743033,0.032541666487112375,0.6016075844674561,0.7644899999999999,0.7999999999999999
2021-07-30,0.40541457433461714,0.23282882960736678,0.4065942994159479,0.86223,0.6054970922805942
2021-08-31,0.4076277902525256,0.217662902715228,0.43186905710894835,0.5405417604800042,0.8120800100239213
2021-09-30,0.013173542750657852,0.02035040910752607,0.11430681760827949,0.040944203002927726,0.4050082665209018
2021-10-29,0.4048797237840621,0.030556919189249104,0.38871,0.31803000000000003,0.6058287127160412
2021-11-30,0.41303070996588886,0.0512544809602061,0.7686406939727441,0.3065603683253204,0.8
2021-12-31,0.22495395695183723,0.23056137673240967,0.5945409431509717,0.349880374010576,0.6074283662737695
2022-01-31,0.4320776512477368,0.22667549933477021,0.456224320934629,0.6953452597167922,0.6024868008792272
2022-02-28,0.7999999999999999,0.44526456137872283,0.8410120407347501,0.6421905940684022,1.0000000000000002
2022-03-31,0.2172895225424032,0.4240462763254895,0.5524409252831757,0.43499413492877287,0.8117070357401311
2022-04-29,0.21007393145867054,0.4009980200446675,0.09095159901093347,0.32033,0.4204556628412181
2022-05-31,0.22312391763556294,0.2493756187257195,0.2594115999001401,0.34351710914542555,0.45721111617128485
2022-06-30,0.4079193802377285,0.251590757541278,0.4519710688296402,0.6433540356400435,1.0
2022-07-29,0.2125395480875801,0.43198186645923764,0.6685442784782465,0.36610393484782444,0.8257941243149657
2022-08-31,0.6000000000000001,0.028225664808374587,0.587821227154445,0.9187358325909112,0.42539338908059565
2022-09-30,0.4076897973769759,0.2074183984060603,0.6716603607923368,0.35502578027516374,0.8015039721560959
2022-10-31,0.6067642803289426,0.21702902575435867,0.9596264717651285,1.0,0.8102387021510457
2022-11-30,0.6,0.2203483376544731,0.6000000000000001,0.71655,0.41618117331393856
2022-12-30,0.21065780985021132,0.014055572826017215,0.46732332618782024,0.42424109165143,0.6116121347527355
2023-01-31,0.2009990290339035,0.20391458471476875,0.06681129072318209,0.3061447170739719,0.8111039150322858
2023-02-28,0.6000000000000001,0.01686968861849429,1.0,0.633536173772865,0.605542866334066
2023-03-31,0.22633375558307517,0.6111641759101414,0.4263337555830751,0.2110004897443318,0.6007450729724519
2023-04-28,0.4115222552052512,0.4082173090433594,0.8,0.8,0.6138153031744589
2023-05-31,0.4,0.40043598592862834,0.653579727752495,0.70858,0.6
2023-06-30,0.40764270763301347,0.4408126060368235,0.40922649245044806,0.6751529782601475,0.8346239387175537
2023-07-31,0.20414054060481035,0.6000000000000001,0.1219684196132673,0.3881636708696709,0.6157989228048628
2023-08-31,0.20995607137571992,0.21414688054401695,0.26609220231063185,0.44366361867974885,0.41193421843944333
2023-09-29,0.4073138405797091,0.22302750297004087,0.6,0.7999999999999999,1.0
2023-10-31,1.0,0.41489532987206074,1.0000000000000002,1.0,1.0
2023-11-30,0.6097356465032858,0.40773506568894546,0.9229765630989641,0.679581927052456,0.6
2023-12-29,0.6008810765833698,0.011088585838595955,0.8008344059875782,0.5886150482329857,1.0
2024-01-31,0.21127065448072735,0.21118770551493982,0.401297646783908,0.29424451594148787,0.8091217219000838
2024-02-29,0.4041650732261486,0.057106409017546184,0.38735387353873546,0.22436999999999996,0.7999999999999999
2024-03-28,0.2267229596462224,0.22409151610003397,0.28826068093765017,0.4074591864121893,0.40325143768575783
2024-04-30,0.4082240208105749,0.41768365524396767,0.40715,0.6059223773779754,0.6152980448160712
2024-05-31,0.4,0.01402379533229113,0.33613053646663626,0.45830687409512105,0.9999999999999999
2024-06-28,0.2222229846396621,0.031307260100086984,0.2946381755444383,0.39874027128257516,1.0
2024-07-31,0.401748613562687,0.21733121420714457,0.45224001643436174,0.5316541228121519,0.6000000000000001
2024-08-30,0.4076924979767503,0.21781444866951621,0.38870632582514486,0.3502918208353294,0.6125535621989306
2024-09-30,0.22030683649940835,0.2136064108064324,0.5000649993500066,0.27306958631322376,0.8
2024-10-31,0.22372066638646765,0.22086781309180542,0.2521999999999999,0.2554478691149411,0.8000000000000002
2024-11-29,0.6000000000000001,0.018327946738403364,0.3211473252426383,0.4372556274437255,0.8057189313137313
2024-12-31,0.6,0.22120886504967793,0.37620112400497824,0.6626025655430559,0.4260507892978401
2025-01-31,0.5999999999999999,0.20813384347949068,1.0,0.88169,0.41388312523781284
2025-02-28,0.41326896827382675,0.4328107197198737,0.6055872445109558,0.5708127245478372,0.6
2025-03-31,0.8,0.4436625322125129,0.820701957065284,0.9043793832029546,0.6308938145619327
2025-04-30,0.3999999999999999,0.40974440732372996,0.19504163453866394,0.3602456588221608,0.7999999999999999
2025-05-30,0.20858835712367788,0.6000000000000001,0.4140962356010375,0.3718749650702473,0.8016685922652923
2025-06-30,0.8024713002248657,0.24271721198200252,0.6467563868978582,0.6047394979034387,0.4036660197322458
2025-07-31,0.42072900528895446,0.22120008482798148,0.9296599999999999,0.6768790882453026,0.6
2025-08-29,0.20433682385513993,0.40519846614980554,0.1439530525188445,0.1053049804841086,0.4140564486997569
2025-09-30,0.6,0.2152082197896919,0.5768287682876829,0.71291,0.8133664467888078
2025-10-31,0.4,0.4239627917374955,0.5768115032931566,0.6595032357552072,0.6132598591373585
2025-11-28,0.22584720663404353,0.23356263543579897,0.19171242969692062,0.1905984237172771,0.6014136501528542
2025-12-31,0.21608499773387724,0.23385602141356981,0.20652646234847594,0.37942729658582497,0.8
