date,rank_ic,top_n_hit_rate,top_n_spread,rolling_12m_mean_rank_ic,rolling_12m_positive_ic_fraction,rolling_12m_top_n_hit_rate,rolling_12m_top_n_spread
2018-08-31,-0.4526315789473684,0.0,-0.016964413104337495,,,,
2018-09-28,0.025573525689680972,0.4,-0.011176208882677188,,,,
2018-10-31,-0.04661654135338346,0.6,-0.029705401290777055,,,,
2018-11-30,-0.10075187969924812,0.6,-0.01542544972169016,,,,
2018-12-31,0.02858217577081991,0.0,0.009431054888771398,,,,
2019-01-31,0.010526315789473682,0.2,-0.023817907298614997,,,,
2019-02-28,0.3383458646616541,0.8,0.015431999917217061,,,,
2019-03-29,-0.20300751879699244,0.4,-0.019897819800866263,,,,
2019-04-30,-0.20601503759398496,0.2,-0.030545659404035558,,,,
2019-05-31,0.09473684210526315,0.6,0.01656628639439553,,,,
2019-06-28,-0.13984962406015036,0.6,-0.006993377393822841,,,,
2019-07-31,-0.04661654135338346,0.8,0.0029731693325996066,-0.05814366648230162,0.4166666666666667,0.43333333333333335,-0.009176977196986498
2019-08-30,-0.0631578947368421,0.8,0.009304752146565357,-0.025687526131424426,0.4166666666666667,0.5,-0.0069878800927445925
2019-09-30,-0.4601503759398496,0.6,-0.018066682092039967,-0.0661645179338853,0.3333333333333333,0.5166666666666666,-0.007562086193524824
2019-10-31,0.5503759398496241,0.8,0.02120800095759858,-0.016415144500301338,0.4166666666666667,0.5333333333333333,-0.0033193026728268542
2019-11-29,0.1609022556390977,0.4,0.03543410935039822,0.005389366777894147,0.5,0.5166666666666667,0.0009189939165138444
2019-12-31,-0.05714285714285714,0.4,0.05606136203070007,-0.001754385964912274,0.4166666666666667,0.55,0.0048048528450079005
2020-01-31,0.13533834586466165,0.8,0.029002928415729885,0.00864661654135339,0.4166666666666667,0.6,0.009206589154536642
2020-02-28,0.2857142857142857,0.8,0.03794738823269665,0.004260651629072687,0.4166666666666667,0.6000000000000001,0.01108287151415994
2020-03-31,0.0,0.2,0.006692359809172155,0.02117794486215539,0.4166666666666667,0.5833333333333334,0.013298719814996475
2020-04-30,-0.17142857142857143,0.4,-0.02223993598401785,0.02406015037593985,0.4166666666666667,0.6,0.013990863433331285
2020-05-29,0.35488721804511275,0.4,0.004966023046956022,0.04573934837092732,0.4166666666666667,0.5833333333333334,0.013024174821044657
2020-06-30,0.12481203007518797,0.6,0.03873997315521041,0.06779448621553884,0.5,0.5833333333333334,0.01683528736679743
2020-07-31,0.12932330827067667,0.8,0.1465857175785172,0.08245614035087719,0.5833333333333334,0.5833333333333334,0.028802999720623893
2020-08-31,-0.19097744360902258,0.4,-0.01154466123708188,0.07180451127819548,0.5833333333333334,0.55,0.02706554860531996
2020-09-30,-0.33684210526315783,0.2,-0.018195172620869185,0.08208020050125314,0.5833333333333334,0.5166666666666667,0.02705484106125085
2020-10-30,0.3578947368421052,0.8,0.09086977985473371,0.06604010025062655,0.5833333333333334,0.5166666666666667,0.032859989302678784
2020-11-30,0.3413533834586466,0.8,0.04757194235924621,0.08107769423558897,0.5833333333333334,0.55,0.03387147538674945
2020-12-31,0.28721804511278193,0.8,0.05025894622372936,0.10977443609022557,0.6666666666666666,0.5833333333333334,0.033387940736168555
2021-01-29,-0.3037593984962406,0.4,-0.009378863011045468,0.0731829573934837,0.5833333333333334,0.55,0.03018945811727061
2021-02-26,0.23609022556390977,0.6,0.03831425336435948,0.06904761904761904,0.5833333333333334,0.5333333333333333,0.03022003021157585
2021-03-31,0.19248120300751878,0.6,-0.002941964643531282,0.0850877192982456,0.6666666666666666,0.5666666666666668,0.02941716984051723
2021-04-30,0.18796992481203004,0.6,-0.020747749323010878,0.11503759398496238,0.75,0.5833333333333334,0.02954151872893447
