strategy,rolling_windows,positive_sharpe_ratio,sharpe_above_benchmark_ratio,positive_active_return_ratio,minimum_rolling_sharpe,median_rolling_sharpe,maximum_rolling_sharpe,minimum_rolling_information_ratio
momentum_3m_equal,65,1.0,0.8461538461538461,0.9230769230769231,0.5514341916137679,1.4172470445645955,2.5740754320215133,-0.33662554455936794
momentum_12_1_equal,65,1.0,0.9076923076923077,1.0,0.09885553646549793,1.465189285812133,2.169486561820593,0.3111143173068095
momentum_max_sharpe,65,1.0,0.8307692307692308,0.9846153846153847,0.5564157085612735,1.3550851230921082,1.957294774983129,-0.006312266226108663
momentum_min_vol,65,1.0,0.6615384615384615,0.676923076923077,0.1514717753495803,1.1649764001361287,2.1340786613183917,-1.0236899938427977
ml,65,1.0,0.9538461538461539,1.0,0.3904205241453625,1.4710873853153716,2.3466029443709386,0.5141715192684683
