strategy,date,maximum_weight,hhi,effective_holdings
momentum_3m_equal,2018-09-28,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2018-10-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2018-11-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2018-12-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-01-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-02-28,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-03-29,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-04-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-05-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-06-28,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-07-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-08-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-09-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-10-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-11-29,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2019-12-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-01-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-02-28,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-03-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-04-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-05-29,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-06-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-07-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-08-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-09-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-10-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-11-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2020-12-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2021-01-29,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2021-02-26,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2021-03-31,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2021-04-30,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2021-05-28,0.2,0.20000000000000004,4.999999999999999
momentum_3m_equal,2021-06-30,0.2,0.20000000000000004,4.999999999999999
