strategy,metric,observed,mean,median,std,p2_5,p5,p25,p75,p95,p97_5
momentum_3m_equal,annual_return,0.34041779836627173,0.3470883497709482,0.3395582084169382,0.13052669885067908,0.11259574180335773,0.14607629097559643,0.2533105781908104,0.4317398252340191,0.5693052883636692,0.6250215602899241
momentum_3m_equal,annual_volatility,0.24230221801863244,0.2384241764329853,0.23772490849059702,0.0326001156899995,0.18031508224023685,0.1876898868644158,0.21370584411921628,0.2616360679087313,0.29358455201459477,0.30385462705432026
momentum_3m_equal,sharpe,1.3380714175106458,1.3535267834756028,1.3606365726318757,0.3644968909971777,0.6172336434490842,0.7452684642750608,1.1136551164173176,1.605356241298238,1.9384312687549692,2.0494974041332124
momentum_3m_equal,annual_active_return,0.19233919861388532,0.19214610566570742,0.1902827251945054,0.08181653822213523,0.03935280919821255,0.062219664720843705,0.13445048237536822,0.2463657769593352,0.3268770233734482,0.3605595043073607
momentum_3m_equal,tracking_error,0.173344336725384,0.1704913055374836,0.16979322151142046,0.020473208126582827,0.13488229984285516,0.1387722407432096,0.15511451341275906,0.18466382975929724,0.20487293463530423,0.21089476816640437
momentum_3m_equal,information_ratio,1.1095787854817165,1.111346622669559,1.1241839347790674,0.42811354408357394,0.2566820766963318,0.4021702419613942,0.8320980919273401,1.3930999631150813,1.8032065660070666,1.9535675986267382
momentum_3m_equal,max_drawdown,-0.2056512969213642,-0.2408947989930298,-0.22539259123609157,0.0745323670803673,-0.42455093329744736,-0.37856163241355706,-0.28314478762709694,-0.19016187587848932,-0.12800036764137981,-0.12700038200309194
momentum_12_1_equal,annual_return,0.30318265765590335,0.307780565849543,0.29980146705174704,0.11211130778201717,0.11067178380432977,0.1391004634783965,0.2291552135176091,0.3776903435236347,0.5010593879204117,0.5441227116347604
momentum_12_1_equal,annual_volatility,0.24486642223332244,0.2416131118017042,0.24074043958916314,0.028894155478750905,0.18807986616640734,0.19569234312138956,0.22126024552653176,0.26153852328456206,0.2895893889625373,0.2988679663998483
momentum_12_1_equal,sharpe,1.2092839937585151,1.2185802132212413,1.225820661254665,0.31959188537621736,0.5775379119033841,0.6927444650166521,1.007367650491437,1.4363137619286412,1.7351692772808767,1.83598995405983
momentum_12_1_equal,annual_active_return,0.1642345712993914,0.16448334807058113,0.16037623043804344,0.06318841385694209,0.05256939190616407,0.06795385774334226,0.11959847484222264,0.2053926345456777,0.2745650364549515,0.2967508153810489
momentum_12_1_equal,tracking_error,0.15246010360686138,0.14982197842077313,0.14942927355272573,0.020227763090587082,0.11335084767733256,0.11800729974976253,0.13500763750505784,0.1638923138617961,0.1842660512927133,0.19092313634758454
momentum_12_1_equal,information_ratio,1.0772298287484574,1.078694275772532,1.0804930804521464,0.3376619642584263,0.41356776713748117,0.5192503240237724,0.847958698515916,1.3106868785641517,1.6417345165709034,1.7458891090574669
momentum_12_1_equal,max_drawdown,-0.20763364403817963,-0.23289736627755947,-0.22092177502395893,0.06265914511250242,-0.38257513726461906,-0.3501423877426039,-0.27036604736239755,-0.19295816279847255,-0.15397888213427946,-0.1341952402711447
momentum_max_sharpe,annual_return,0.33327312802143183,0.3447634257476877,0.3305864777061809,0.1458669122980081,0.10344457677320391,0.13724395225214958,0.24091933464924736,0.4301711650460996,0.6096390666129726,0.6746058898682566
momentum_max_sharpe,annual_volatility,0.28785542471137454,0.281055949037421,0.2811213162513665,0.052837034572114444,0.1902492669047553,0.19887809888052424,0.23955661777495205,0.3194073574585227,0.3709980985666494,0.38557958698833966
momentum_max_sharpe,sharpe,1.1414257376296748,1.1615964830307222,1.177170221463703,0.2961338381944405,0.5387071133039207,0.6648396885932748,0.9694745072739783,1.3655094875605023,1.6233344389295112,1.7034364698012705
momentum_max_sharpe,annual_active_return,0.1966871167656043,0.19870787625998232,0.19150739356072155,0.09390093655766453,0.03478426507572987,0.0574496779632952,0.13340402862507356,0.25842982695784905,0.3633387023575222,0.3973912590910911
momentum_max_sharpe,tracking_error,0.21751199366489432,0.21210593911257467,0.21286437290929994,0.04091224320166281,0.1454613706347214,0.15113482096095296,0.17631549348645276,0.24264806498950217,0.2823711354196435,0.2918907672341659
momentum_max_sharpe,information_ratio,0.9042587190324158,0.9035830076703151,0.9167047962858019,0.32078047810512117,0.216436026198855,0.34481065796621163,0.7006709236801365,1.1259453835584614,1.3989896582915977,1.4886485366092879
momentum_max_sharpe,max_drawdown,-0.24032197900887364,-0.2517474468292301,-0.24446397931328934,0.07791006131813458,-0.43331846141981545,-0.39839714231808265,-0.2948310767256496,-0.1892454018648696,-0.15482546986848,-0.15072488090419667
momentum_min_vol,annual_return,0.20134167250911017,0.2030099872830819,0.1997869730665469,0.06550685083814875,0.08152916102363278,0.10258538446605002,0.1577073970835537,0.24570346054370457,0.3141274243139882,0.3384248412335584
momentum_min_vol,annual_volatility,0.18056282964799242,0.17825241340089693,0.17770899173300517,0.019807514887808023,0.1410043281555043,0.14639787931235182,0.16403494299641289,0.19188581269092878,0.21161548904146302,0.2174374785285287
momentum_min_vol,sharpe,1.1104824473996198,1.122248569441386,1.1239553335651689,0.28848444085470665,0.5473321910756505,0.6582043787108695,0.9293740170299515,1.3151867700499156,1.6023876572882718,1.6778358196909529
momentum_min_vol,annual_active_return,0.06863337926062359,0.06832082306332829,0.06779160006398521,0.045389373032107085,-0.018383017671322555,-0.004220322975658085,0.03696326390369525,0.09888397900835282,0.14391793754232282,0.1588854680333402
momentum_min_vol,tracking_error,0.1302600056725361,0.12900252586042654,0.1291365754766691,0.010105930838585289,0.10880154657635348,0.11240747063019801,0.1221592171281293,0.13586148108014556,0.14566270963640748,0.14875918101085386
momentum_min_vol,information_ratio,0.5268952577290896,0.5250214206017497,0.5237093161389927,0.34445874105173885,-0.1457110134732585,-0.03404580082234172,0.2936111437199124,0.7549748432731614,1.0939929479057746,1.2076568543003225
momentum_min_vol,max_drawdown,-0.1455504842335229,-0.17628322342758002,-0.1686649435821091,0.04623400461599077,-0.28549381155551057,-0.2621864272216632,-0.20257442118229413,-0.14451749302098804,-0.11014951891966718,-0.10843503184528158
ml,annual_return,0.3082573020577686,0.3131726512915895,0.30679974242971164,0.10600786077885532,0.11845058337304636,0.1462415004327186,0.24004486637774314,0.3832938030740259,0.49388049159411707,0.5338429083291157
