strategy,total_subperiods,positive_active_return_subperiods,positive_active_return_ratio,benchmark_beating_return_subperiods,benchmark_beating_sharpe_subperiods,best_subperiod_sharpe,worst_subperiod_sharpe,mean_subperiod_sharpe,std_subperiod_sharpe
momentum_3m_equal,4,4,1.0,4,3,2.3109610378109853,-0.3458235095667587,0.9943292213747503,1.1407625183759078
momentum_12_1_equal,4,4,1.0,4,2,1.928312676767397,-0.09578735959466028,0.9483087934541834,0.898587756099627
momentum_max_sharpe,4,3,0.75,3,2,1.673872586765046,0.12187692746012438,0.8796883375925464,0.7764545858502239
momentum_min_vol,4,3,0.75,3,3,1.6996056824937003,0.25075866731133856,0.9931097159895146,0.5937087451563409
ml,4,4,1.0,4,3,2.10402993559851,-0.49513988142644866,1.0052964205895454,1.210576757369979
