date,strategy,annualized_return,annualized_volatility,sharpe_ratio,beta,tracking_error,information_ratio,maximum_drawdown
2018-09-28,momentum_3m_equal,,,,,,,
2018-10-31,momentum_3m_equal,,,,,,,
2018-11-30,momentum_3m_equal,,,,,,,
2018-12-31,momentum_3m_equal,,,,,,,
2019-01-31,momentum_3m_equal,,,,,,,
2019-02-28,momentum_3m_equal,,,,,,,
2019-03-29,momentum_3m_equal,,,,,,,
2019-04-30,momentum_3m_equal,,,,,,,
2019-05-31,momentum_3m_equal,,,,,,,
2019-06-28,momentum_3m_equal,,,,,,,
2019-07-31,momentum_3m_equal,,,,,,,
2019-08-30,momentum_3m_equal,-0.08243365109484391,0.2131385125236906,-0.30091946372207456,0.9124451621474374,0.12880564253555768,-0.6905825053517041,-0.2056512969213642
2019-09-30,momentum_3m_equal,-0.044981601925859316,0.21701880137852309,-0.10842233893944525,0.9242813356366175,0.13129519477534732,-0.4663534951687506,-0.2015653064460189
2019-10-31,momentum_3m_equal,0.1353326214121684,0.1715793884887432,0.8239383551608428,0.7600200907671099,0.11974229649852576,0.11554334587743252,-0.0909309011766436
2019-11-29,momentum_3m_equal,0.21323922725489108,0.17181574280566825,1.2147842573785068,0.7834632724035389,0.1129801341032037,0.5752866681906869,-0.0909309011766436
2019-12-31,momentum_3m_equal,0.4376034400810789,0.16399114986241603,2.3231281447334826,0.7804081147981825,0.13218658260547322,0.8842247468155036,-0.09093090117664371
2020-01-31,momentum_3m_equal,0.566100959230659,0.17471425471822927,2.6966834056151106,1.009756593065914,0.13019175223068188,2.20729587541689,-0.09093090117664371
2020-02-28,momentum_3m_equal,0.5387113171195681,0.17952939825316347,2.526674803761197,0.8682274065442934,0.12456821088344544,3.080035136179496,-0.09093090117664371
2020-03-31,momentum_3m_equal,0.36263633199975076,0.21037011884457285,1.58691990558351,0.8600735316973535,0.12607740751411597,3.227748215069593,-0.0909309011766436
2020-04-30,momentum_3m_equal,0.5616476366216392,0.28075085118170395,1.740160729041026,1.0425197913992545,0.1355331518200125,3.49823388287471,-0.0909309011766436
2020-05-29,momentum_3m_equal,0.8330163379270892,0.24166723115638336,2.675254041155125,0.9289187083535325,0.11811649370371047,4.411210724886684,-0.08682512885068827
2020-06-30,momentum_3m_equal,0.8735126475408606,0.24462408983905334,2.7396323947893717,0.9913542352421475,0.11289385497612432,5.272539906844989,-0.08682512885068805
2020-07-31,momentum_3m_equal,1.1583919517076349,0.26733568911698946,3.086593300911323,1.0632839054462253,0.12158624647563057,5.825006305147584,-0.08682512885068816
2020-08-31,momentum_3m_equal,1.6884728139051588,0.3453943657019358,3.1270412167304706,1.2376535257248267,0.20370989822387364,4.295275959979884,-0.08682512885068816
2020-09-30,momentum_3m_equal,1.375990306094418,0.38483502584799845,2.493813726286721,1.3486911333585012,0.23066330078212,3.5161372712935637,-0.08682512885068816
2020-10-30,momentum_3m_equal,1.183023855019726,0.4035832341751816,2.169026310113545,1.4100758677216252,0.24176259226576385,3.204867890868648,-0.12700038200309216
2020-11-30,momentum_3m_equal,1.419910427768487,0.41211540020507925,2.4002806172359503,1.3531987928580038,0.23599577085898488,3.4539963254401918,-0.12700038200309183
2020-12-31,momentum_3m_equal,1.3142200831716004,0.41222011935679187,2.282731649027,1.3322667858668205,0.2408799585404107,3.1484237851030583,-0.12700038200309205
2021-01-29,momentum_3m_equal,1.206895342003738,0.4125873338325831,2.1571626678475044,1.3414465033686296,0.23738477331425878,3.020121424382648,-0.12700038200309216
2021-02-26,momentum_3m_equal,1.4500667508287144,0.4011689475560597,2.4891568314806594,1.432078416606992,0.23731818428904541,3.014026672470483,-0.12700038200309194
2021-03-31,momentum_3m_equal,1.7050075418661295,0.3706034843569405,2.9546986484563282,1.7539330534821302,0.2501042821534878,2.575624074791386,-0.12700038200309205
2021-04-30,momentum_3m_equal,1.3286662574421517,0.34732167280991727,2.6664548324855315,1.8432210691767723,0.2541145320179755,2.1631555713235704,-0.12700038200309194
2021-05-28,momentum_3m_equal,1.19942632875183,0.3541881497102342,2.447561796147199,1.8999711783488455,0.25684784669471306,2.064507974256274,-0.12700038200309205
2021-06-30,momentum_3m_equal,1.131316418258475,0.35348055891516594,2.3565719982949993,1.9210430764929285,0.2544847595822509,1.935455068628566,-0.12700038200309194
2021-07-30,momentum_3m_equal,0.8388854854485306,0.3377550648389581,1.98930198486305,1.8438788318953458,0.2437593182395058,1.4924209704153446,-0.12700038200309205
2021-08-31,momentum_3m_equal,0.5316691130445208,0.22162369684632507,2.0571226418555475,1.4018886712649075,0.1287114903854174,1.4674375397884607,-0.12700038200309205
2021-09-30,momentum_3m_equal,0.5738120359111958,0.20736843491450294,2.319960072469026,1.2746698988807297,0.11489746749404434,1.935609555244743,-0.05968584354133377
2021-10-29,momentum_3m_equal,0.9329013146957261,0.22242612900502898,3.14147650529511,1.3621790511708356,0.13443989136232196,2.5531631943144037,-0.05968584354133377
2021-11-30,momentum_3m_equal,0.7945028889809436,0.19350029544840777,3.1808788511224004,1.1877199643542329,0.14499665775819937,2.5923415681351845,-0.05968584354133377
2021-12-31,momentum_3m_equal,0.6847181555402087,0.20253172170574527,2.720201924351185,1.0292905752407633,0.16757463583905693,1.8189840538866497,-0.05968584354133377
2022-01-31,momentum_3m_equal,0.46714788042258415,0.2422764924168387,1.7152885812172791,1.3548975300209627,0.1731197658016148,1.2182954126370444,-0.09555067582155652
2022-02-28,momentum_3m_equal,0.3701352977732322,0.23367033270234439,1.4689611808465195,1.1862158808453744,0.16901823309404534,1.159883777997126,-0.09555067582155663
2022-03-31,momentum_3m_equal,0.4122661679077759,0.23501459856545676,1.5944555290268483,1.2579179929343631,0.16454364716269462,1.4231757541576728,-0.09555067582155652
2022-04-29,momentum_3m_equal,0.34494830388134723,0.23707319482299583,1.3704760397598739,1.0080265033806008,0.17313804006544808,1.8756095960269104,-0.09555067582155652
2022-05-31,momentum_3m_equal,0.35707818855323925,0.23644117684398272,1.412581768988893,1.0140264391891696,0.17147627479347036,1.9784780339581747,-0.09555067582155652
2022-06-30,momentum_3m_equal,0.21722601448479972,0.24499975843262486,0.9170952498938885,0.9824678814532469,0.1713004316923687,1.9620013098549167,-0.09555067582155652
2022-07-29,momentum_3m_equal,0.25011741212853256,0.24583920418406147,1.0253167142842765,0.8156802425949476,0.18545726534434215,1.591192797445583,-0.09555067582155652
